CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
74.409.467/0001-26;2015-01-01;3;47584;FENICIAPAR S/A;1994-12-16;FENICIAPAR PARTICIPAÇÕES S/A;1994-01-03;015024;1995-09-15;Categoria A;2010-01-01;Ativo;1995-09-15;Brasil;Brasil;Securitização de Recebíveis;Aquisição de direitos creditórios originados pela Lojas Arapuã S/A direritos estes, que contam com a co-obrigação da vendedora dos produtos e serviços prestados e cessão de direitos.;Paralisada;1998-06-22;Privado;1998-06-22;31;12;2014-12-31;www.feniciapar.com.br
75.609.123/0001-23;2015-01-01;1;43793;Ouro Verde Locação e Serviço S.A.;2013-06-28;Ouro Verde Transporte e Locação S.A.;1973-05-29;023280;2013-11-14;Categoria A;2013-11-14;Ativo;2013-11-14;Brasil;Brasil;Serviços Transporte e Logística;Locação de veículos e de equipamentos, com ou sem a cessão de operador gestão e administração de veículos, máquinas e equipamentos de terceiros, dentre outras atividades correlatas.;Fase Operacional;2013-11-14;Privado;;31;12;2013-09-30;www.ouroverde.net.br
76.483.817/0001-20;2015-01-01;2;46398;COMPANHIA PARANAENSE DE ENERGIA;1979-10-22;Companhia Paranaense de Energia Elétrica;1954-10-26;014311;1994-04-04;Categoria A;2010-01-01;Ativo;1994-04-04;Brasil;Brasil;Energia Elétrica;Geração, Transmissão, Comercialização e Distribuição de Energia Elétrica;Fase Operacional;1994-04-04;Estatal Holding;;31;12;;www.copel.com
76.484.013/0001-45;2015-01-01;5;51368;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;1964-06-19;COMPANHIA DE ÁGUA E ESGOTOS DO PARANÁ - AGEPAR;1963-01-23;018627;2000-03-10;Categoria A;2010-01-01;Ativo;2000-03-10;Brasil;Brasil;Saneamento, Serv. Água e Gás;EXPLORAÇÃO DE SERVIÇOS PÚBLICOS E DE SISTEMAS PRIVADOS DE ABASTECIMENTO DE ÁGUA, DE COETA, REMOÇÃO E DESTINAÇÃO FINAL DE EFLUENTES E RESÍDUOS SÓLIDOS DOMÉSTICOS E INDUSTRIAIS E SEUS SUBPRODUTOS.;Fase Operacional;2000-03-10;Estatal;2014-04-17;31;12;2011-01-04;www.sanepar.com.br
76.500.180/0001-32;2015-01-01;2;49298;COMPANHIA PROVIDENCIA IND E COMERCIO;;;1963-07-04;020974;2007-07-25;Categoria A;2010-01-01;Ativo;2007-07-25;Brasil;Brasil;Petroquímicos e Borracha;Fabricação e comercialização de tecido nãotecido, resultante da transformação de polipropileno.;Fase Operacional;2007-07-25;Privado;2007-01-31;31;12;2012-12-31;www.providencia.com.br/ri
76.535.764/0001-43;2015-01-01;3;48414;OI S/A;2012-02-27;BRASIL TELECOM S/A;1963-11-27;011312;1980-03-27;Categoria A;2010-01-01;Ativo;1980-03-27;Brasil;Brasil;Telecomunicações;;Fase Operacional;1980-03-27;Privado;2009-01-08;31;12;2010-12-31;www.oi.com.br/ri
76.627.504/0001-06;2015-01-01;4;48573;INEPAR SA IND E CONSTRUCOES - em Recuperação Judicial;1976-04-30;INEPAR - INDÚSTRIA ELETROMECÂNICAS DO PARANÁ S/A;1968-05-01;007595;1980-01-22;Categoria A;2010-01-01;Ativo;1980-01-22;Brasil;Brasil;Máquinas, Equipamentos, Veículos e Peças;Fabricação de equipamentos e sistemas elétricos , fabricação de torres e acessórios para transmissão de energia e telecomunicações, fabricação de bens de capital e sitemas industriais sob encomenda,;Em Recuperação Judicial ou Equivalente;2014-09-15;Privado;;31;12;1968-05-01;www.inepar.com.br
78.588.415/0001-15;2015-01-01;1;45136;CIA CACIQUE CAFE SOLUVEL;;;1959-10-17;002909;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Alimentos;A exploração de usinas de café solúvel e a industrialização e envasamento do café solúvel, do café torrado e/ou moído;Fase Operacional;1977-07-20;Privado Holding;;31;12;;www.cafepele.com.br
78.876.950/0001-71;2015-01-01;2;49195;CIA HERING;1999-04-30;Hering Têxtil S/A;1985-08-19;014761;1995-01-26;Categoria A;2010-01-01;Ativo;1995-01-26;Brasil;Brasil;Têxtil e Vestuário;Confecção de artigos do vestuário e acessórios;Fase Operacional;1995-01-26;Privado;;31;12;;www.ciahering.com.br
80.227.184/0001-66;2015-01-01;3;49434;METALGRAFICA IGUACU SA;1970-05-26;METALGRAFICA MERHY S.A.;1951-11-27;008605;1968-09-02;Categoria A;2010-01-01;Ativo;1968-09-02;Brasil;Brasil;Metalurgia e Siderurgia;FÁBRICA DE EMBALAGENS METÁLICAS PARA ALIMENTOS;Fase Operacional;1968-09-02;Privado;1992-03-24;31;12;;www.metaliguacu.com.br
81.243.735/0001-48;2015-01-01;3;49696;POSITIVO INFORMATICA SA;2006-08-17;POSITIVO INFORMÁTICA LTDA.;1989-05-26;020362;2006-12-06;Categoria A;2010-01-01;Ativo;2006-12-06;Brasil;Brasil;Comunicação e Informática;Fabricação de computadores.;Fase Operacional;2006-12-06;Privado;;31;12;2014-12-31;www.positivoinformatica.com.br/ri
81.304.727/0001-64;2015-01-01;1;45357;IGUACU CELULOSE PAPEL SA;1981-12-10;INDUSTRIAL PAPELEIRA SANTA MÔNICA S/A;1965-11-04;015113;1995-11-09;Categoria A;2010-01-01;Ativo;1995-11-09;Brasil;Brasil;Papel e Celulose;FABRICAÇÃO DE PAPEL, CELULOSE E DERIVADOS;Fase Operacional;1995-11-09;Privado;;31;12;;www.iguacucelulose.com.br
82.373.077/0001-71;2015-01-01;3;47116;BEMATECH SA;2008-04-11;BEMATECH IND COM EQUIP ELETRONICOS SA;1990-10-01;020656;2007-04-17;Categoria A;2010-01-01;Ativo;2007-04-17;Brasil;Brasil;Comunicação e Informática;Soluções de tecnologia para o varejo, food service e hospitality.;Fase Operacional;2007-04-17;Privado;;31;12;;www.bematech.com.br/ri
82.508.433/0001-17;2015-01-01;1;43520;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;;;1971-07-02;016861;1998-02-06;Categoria A;2010-01-01;Ativo;1998-02-06;Brasil;Brasil;Saneamento, Serv. Água e Gás;Atuar como instituição integrante do sistema de saneamento básico e de saúde do Estado de Santa Catarina através dos serviços de captação, tratamento e distribuição de água e tratamento de esgoto.;Fase Operacional;1998-02-06;Estatal;1998-02-06;31;12;;www.casan.com.br
82.636.986/0001-55;2015-01-01;1;45546;TEKA TECELAGEM KUEHNRICH SA;1972-10-20;TEKA TECELAGEM KUEHNRICH S.A.;1935-04-06;011223;1969-12-04;Categoria A;2010-01-01;Ativo;1969-12-04;Brasil;Brasil;Têxtil e Vestuário;Fabricação de artigos de Cama, Mesa e Banho;Fase Operacional;1969-12-04;Privado;1935-04-06;31;12;2014-12-31;www.teka.com.br
82.640.558/0001-04;2015-01-01;4;46658;KARSTEN SA;2000-04-17;Companhia Têxtil Karsten.;1933-12-12;004146;1971-12-29;Categoria A;2010-01-01;Ativo;1971-12-29;Brasil;Brasil;Têxtil e Vestuário;Fabricação, exportação, importação e o comércio atacadista e varejista de fios, tecidos e produtos têxteis em geral.;Fase Operacional;1971-12-29;Privado;1933-12-12;31;12;1933-12-12;www.karsten.com.br
82.640.632/0001-84;2015-01-01;1;45518;LOJAS HERING SA;;;1950-12-29;008117;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Têxtil e Vestuário;Comércio Varejista de Artigos Têxteis;;2010-04-27;Privado;1998-04-07;31;12;;www.lojasheringsa.com.br
82.641.325/0001-18;2015-01-01;2;47901;CREMER SA;1995-03-21;Cremer S.A. - Produtos Têxteis e Cirúrgicos;1935-03-30;020141;2006-06-30;Categoria A;2010-01-01;Ativo;2006-06-30;Brasil;Brasil;Têxtil e Vestuário;Indústria e comércio de produtos têxteis (tecidos e não tecidos), cirúrgicos, hospitalares,adesivos cirúrgicos e industriais, cosméticos, de perfumaria e higiene, comércio de medicamentos, saneantes;Fase Operacional;2006-06-30;Privado;2013-01-04;31;12;2014-12-31;www.cremer.com.br/ri
82.643.537/0001-34;2015-01-01;2;46286;ELECTRO AÇO ALTONA S/A;1936-10-31;Electro Aço;1924-03-08;005380;1950-01-19;Categoria A;2010-01-01;Ativo;1950-01-19;Brasil;Brasil;Metalurgia e Siderurgia;Fundição de ferro e aço;Fase Operacional;1998-12-29;Privado;2009-12-31;31;12;2014-12-31;www.altona.com.br
