CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;;;1808-10-12;001023;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Banco Múltiplo;Fase Operacional;1977-07-20;Estatal;;31;12;;www.bb.com.br
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;1986-01-16;BANCO REGIONAL DE BRASILIA SA - BRB;1964-12-10;014206;1993-09-24;Categoria A;2010-01-01;Ativo;1993-09-24;Brasil;Brasil;Bancos;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo;Fase Operacional;1993-09-24;Estatal;;31;12;;www.brb.com.br
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;;;1962-06-11;002437;1971-01-28;Categoria A;2010-01-01;Ativo;1971-01-28;Brasil;Brasil;Energia Elétrica;Empresa Holding de Geração, Transmissão e Distribuição de Energia;Fase Operacional;1971-01-28;Estatal Holding;1962-06-11;31;12;1962-06-11;www.eletrobras.com
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;1994-03-15;COMPANHIA DE ELETRICIDADE DE BRASÍLIA;1968-12-16;014451;1994-07-04;Categoria A;2010-01-01;Ativo;1994-07-04;Brasil;Brasil;Energia Elétrica;HOLDING/GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;1994-07-04;Estatal;;31;12;2009-04-30;www.ceb.com.br
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;;;1994-08-18;014680;1994-12-22;Categoria A;2010-01-01;Ativo;1994-12-22;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Fase Operacional;2012-12-27;Privado Holding;2007-09-26;31;12;;www.parcomparticipacoes.com.br/home/index.aspx
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;;;1994-08-23;014613;1994-10-27;Categoria B;2010-01-01;Ativo;1994-10-27;Brasil;Brasil;Crédito Imobiliário;Aluguel de Imóveis próprios;Fase Operacional;1994-10-27;Privado;;31;12;;
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;2012-12-27;;1994-08-23;014796;1995-02-21;Categoria A;2010-01-01;Ativo;1995-02-21;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Em Liquidação Extrajudicial;2012-12-27;Privado Holding;1996-12-23;31;12;;www.forpart.com.br/home/index.aspx
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;;;1994-10-18;014818;1995-03-14;Categoria A;2010-01-01;Ativo;1995-03-14;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação no Capital de Outras Empresas;Fase Pré-Operacional;1995-03-14;Privado;;31;12;;www.cims.com.br
00.336.701/0001-04;2020-01-01;2;100102;TELEC BRASILEIRAS S.A. TELEBRAS;;;1972-11-09;011258;1981-01-21;Categoria A;2010-01-01;Ativo;1981-01-21;Brasil;Brasil;Telecomunicações;Consecução e execução das Políticas Públicas de Telecomunicação (Decreto 9.612/2018).;Fase Operacional;1981-01-21;Estatal;2012-07-04;31;12;;www.telebras.com.br
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2017-03-31;INEPAR TELECOMUNICAÇÕES S.A.;1994-12-20;015423;1996-02-28;Categoria A;2010-01-01;Ativo;1996-02-28;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Holding de instituições não financeiras.;Em Recuperação Judicial ou Equivalente;2017-03-07;Privado Holding;2015-05-25;31;12;;www.atompar.com.br
00.383.281/0001-09;2020-01-01;2;92674;BNDES PARTICIPACOES S.A. - BNDESPAR;1982-06-30;FIBASE;1974-09-04;016772;1998-01-13;Categoria B;2010-01-01;Ativo;1998-01-14;Brasil;N/A;Emp. Adm. Part. - Sem Setor Principal;;Fase Operacional;1998-01-14;Estatal;;31;12;;http://www.bndes.gov.br
00.389.481/0001-79;2020-01-01;2;99897;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;;;1995-01-10;024880;2019-11-29;Categoria B;2019-11-29;Ativo;2019-11-29;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;;Fase Operacional;1995-01-10;Privado;2020-12-31;31;12;;http://www.lmfrotas.com.br/
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;2017-06-08;BANCO INTERMEDIUM S.A.;1994-09-16;024406;2018-04-26;Categoria A;2018-04-26;Ativo;2018-04-26;Brasil;Brasil;Bancos;Banco múltiplo com carteira de crédito, financiamento, investimento e câmbio.;Fase Operacional;1994-09-16;Privado;;31;12;;http://ri.bancointer.com.br/
00.545.378/0001-70;2020-01-01;1;94884;SERRA AZUL WATER PARK SA;;;1995-03-09;014966;1995-07-26;Categoria A;2010-01-01;Ativo;1995-07-26;Brasil;Brasil;Emp. Adm. Part. - Brinquedos e Lazer;Administração e Exploração de Parque Aquático;Fase Operacional;2001-03-31;Privado;2009-10-02;31;12;2009-12-31;www.wetnwild.com.br
00.622.416/0001-41;2020-01-01;1;90341;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2015-07-13;Desenvix Energias Renováveis S.A.;1995-05-19;022594;2011-09-19;Categoria A;2011-09-19;Ativo;2011-09-19;Brasil;Brasil;Energia Elétrica;A Companhia atua no ramo de geração de energia elétrica por meio de fontes renováveis.;Fase Operacional;1995-05-19;Privado Holding;2015-07-13;31;12;1995-05-19;www.statkraft.com.br
00.644.907/0001-93;2020-01-01;1;91058;INVESTCO S.A.;;;1995-05-31;018589;2000-02-04;Categoria A;2010-01-01;Ativo;2000-02-04;Brasil;Brasil;Energia Elétrica;Geração de Energia Elétrica;Fase Operacional;2001-12-31;Privado;;31;12;;www.edpbr.com.br
00.743.065/0001-27;2020-01-01;3;93549;LITEL PARTICIPACOES S.A.;;;1995-07-21;015091;1995-10-18;Categoria A;2010-01-01;Ativo;1995-10-18;Brasil;Brasil;Emp. Adm. Part. - Extração Mineral;;Fase Operacional;2000-12-31;Privado;1997-04-24;31;12;;www.litelbrasil.com.br
00.776.574/0001-56;2020-01-01;1;93607;B2W - COMPANHIA DIGITAL;2013-04-30;B2W - COMPANHIA GLOBAL DO VAREJO;2006-12-13;020990;2007-07-26;Categoria A;2010-01-01;Ativo;2007-07-26;Brasil;Brasil;Comércio (Atacado e Varejo);Comércio varejista e atacadista em geral de quaisquer bens e serviços através de diversos meios, em especial da Internet, sem restrição a outros meios.;Fase Operacional;2007-07-26;Privado;2005-08-31;31;12;;http://www.b2wdigital.com
00.861.626/0001-92;2020-01-01;1;94155;CONC RODOVIA PRES. DUTRA S.A.;;;1995-10-02;019577;2004-08-16;Categoria B;2010-01-01;Ativo;2004-08-16;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;Concessionárias de rodovias, pontes, túneis e serviços relacionados.;Fase Operacional;2004-08-16;Privado Holding;2001-06-22;31;12;;www.novadutra.com.br
00.864.214/0001-06;2020-01-01;4;100112;ENERGISA S.A.;1998-02-25;SIDEPAR PARTICIPAÇÕES S.A.;1995-08-09;015253;1995-12-20;Categoria A;2010-01-01;Ativo;1995-12-20;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Sociedade de participações em outras empresas, predominantemente em distribuidoras de energia elétrica.;Fase Operacional;2001-03-31;Privado;1995-08-09;31;12;1995-08-09;https://ri.energisa.com.br/
00.897.864/0001-58;2020-01-01;3;99795;SANTA CATARINA PART INVEST SA;;;1995-11-07;015199;1995-12-13;Categoria B;2010-01-01;Ativo;1995-12-13;Brasil;Brasil;Emp. Adm. Part. - Intermediação Financeira;Geração de recursos para alocação em investimentos públicos no território catarinense captados pela emissão de obrigações - Adm. Pública em Geral.;Fase Operacional;1995-12-13;Estatal;;31;12;;
00.924.429/0001-75;2020-01-01;1;95642;FERROVIA CENTRO-ATLANTICA S.A.;1996-06-28;VASSOURAS PARTICIPAÇÕES S/A;1995-08-14;015369;1996-02-12;Categoria A;2010-01-01;Ativo;1996-02-12;Brasil;Brasil;Serviços Transporte e Logística;Serviço de Transporte Ferroviário;Fase Operacional;1996-02-12;Privado;;31;12;;www.vli-logistica.com.br/fcasa
00.938.574/0001-05;2020-01-01;1;93817;CONC RIO-TERESOPOLIS S.A.;;;1995-11-07;019208;2001-12-26;Categoria A;2010-01-01;Ativo;2001-12-26;Brasil;Brasil;Serviços Transporte e Logística;Administração, Operação e Conservação de Rodovia;Fase Operacional;2001-12-26;Privado;1995-11-07;31;12;;www.crt.com.br
00.974.211/0001-25;2020-01-01;1;93331;Linha Amarela S.A. - LAMSA;1995-11-21;Não aplicável, tendo em vista que o emissor nunca alterou seu nome empresarial.;1995-11-21;024937;2020-04-08;Categoria B;2020-04-08;Ativo;2020-04-08;Brasil;Brasil;Serviços Transporte e Logística;Exploração do pedágio, operação, manutenção e exploração da via denominada Linha Amarela S.A.;Fase Operacional;1998-01-01;Privado Holding;2000-05-31;31;12;;http://lamsa.ri.invepar.com.br
00.979.969/0001-56;2020-01-01;1;92663;CAIXA ADM DIV PUB ESTADUAL SA;1995-12-28;;1995-12-28;015717;1996-09-04;Categoria B;2010-01-01;Ativo;1996-09-04;Brasil;Brasil;Intermediação Financeira;Emitir e colocar no mercado obrigações, adquirir, alienar e dar em garantia ativos, créditos, títulos e valores mobiliários.;Fase Operacional;1996-09-04;Estatal;1995-12-28;31;12;;http://www.cadip.com.br
01.027.058/0001-91;2020-01-01;1;90608;CIELO S.A.;2009-12-14;Cia Brasileira de Meios de Pagamento;1995-11-23;021733;2009-06-25;Categoria A;2010-01-01;Ativo;2009-06-25;Brasil;Brasil;Intermediação Financeira;Empresa prestadora de serviços de adquirência e meios de pagamento.;Fase Operacional;2009-06-25;Privado;2009-06-29;31;12;;www.cielo.com.br
01.083.200/0001-18;2020-01-01;2;91278;NEOENERGIA S.A.;2004-10-13;GUARANIANA S.A.;1996-02-14;015539;1996-05-08;Categoria A;2010-01-01;Ativo;1996-05-08;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação em outras sociedades;Fase Operacional;2001-03-31;Privado;;31;12;;http://ri.neoenergia.com/
01.104.937/0001-70;2020-01-01;2;94773;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2008-09-02;LIGHT PARTICIPAÇÕES S.A - LIGHTPAR;1996-01-20;015784;1996-09-30;Categoria A;2010-01-01;Ativo;1996-09-30;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;A ELETROPAR tem por objeto social principal a participação no capital social da ELETROPAULO - Eletricidade de São Paulo S.A., concessionária de serviços pub. de energia elét., e de outras sociedades.;Fase Operacional;1996-09-30;Estatal Holding;;31;12;;www.eletrobraspar.com
01.107.327/0001-20;2020-01-01;1;90897;BBM Logística S.A.;2015-06-30;BBM Serviços e Transportes Ltda.;1996-03-06;024660;2019-02-27;Categoria A;2019-02-27;Ativo;2019-02-27;Brasil;Brasil;Serviços Transporte e Logística;Prestação de serviços logísticos através de operações dedicadas e transporte de carga geral fracionada.;Fase Operacional;1996-03-06;Privado;2018-06-15;31;12;;www.bbmlogística.com.br
01.258.944/0001-26;2020-01-01;1;95564;FERROVIA SUL-ATLANTICO S.A.;2017-02-23;ALL - AMERICA LATINA LOGISTICA MALHA SUL S.A.;1996-04-30;015709;1996-08-29;Categoria B;2010-01-01;Ativo;1996-08-29;Brasil;Brasil;Serviços Transporte e Logística;Prestar serviço de transporte ferroviário e armazenagens de cargas.;Fase Operacional;1996-08-29;Privado;1999-04-03;31;12;;www.ri.rumolog.com
01.319.044/0001-41;2020-01-01;2;95349;WTC AMAZONAS SUITE HOTEL S.A.;2000-12-21;WTC BRASILIA EMPREENDIMENTOS E PARTICIPACOES S.A.;1996-06-01;015741;1996-09-18;Categoria B;2012-03-12;Ativo;1996-09-18;Brasil;Brasil;Hospedagem e Turismo;HOTELARIA E TURISMO;Fase Pré-Operacional;1996-09-18;Privado;2002-07-29;31;12;;
01.417.222/0001-77;2020-01-01;2;92905;MRS LOGISTICA S.A.;;;1996-08-30;017949;1998-11-13;Categoria A;2010-01-01;Ativo;1998-11-13;Brasil;Brasil;Serviços Transporte e Logística;Serviços de Transporte Ferroviário de Cargas;Fase Operacional;1998-11-13;Privado;2015-12-28;31;12;;www.mrs.com.br
01.543.032/0001-04;2020-01-01;1;97106;CELG DISTRIBUICAO S.A. - CELG D;2006-07-23;Companhia Energética de Goiás;1956-02-16;025577;;Categoria B;;Em análise;;Brasil;Brasil;Energia Elétrica;;Fase Operacional;;Privado;2017-02-14;31;12;;https://www.enel.com.br/pt-goias.html
01.545.826/0001-07;2020-01-01;1;91350;GAFISA S.A.;1997-12-16;Inhauma participações s.a;1996-11-12;016101;1997-02-21;Categoria A;2010-01-01;Ativo;1997-02-21;Brasil;Brasil;Construção Civil, Mat. Constr. e Decoração;;Fase Operacional;1997-02-21;Estrangeiro;;31;12;2019-04-23;www.gafisa.com.br
01.547.749/0001-16;2020-01-01;2;96463;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;2020-08-25;521 PARTICIPAÇÕES S.A.;1996-07-30;016330;1997-07-11;Categoria B;2011-04-28;Ativo;1997-07-11;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação direta ou indireta em outras sociedades, empreendimentos e consórcios, como acionistas, sócia, quotista ou consorciada.;Em Liquidação Extrajudicial;2015-04-30;Privado;1998-04-07;31;12;;
01.548.981/0001-79;2020-01-01;3;97953;INVESTIMENTOS BEMGE S.A.;2001-04-24;Financeira Bemge S.A. Crédito, Financiamento e Investimento;1964-03-05;006041;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Investimentos;Fase Operacional;1966-09-27;Privado;;31;12;;www.investimentosbemge.com.br
01.599.101/0001-93;2020-01-01;3;97522;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2016-12-29;Sequoia Logística e Transportes Ltda.;1996-12-05;025160;2020-10-05;Categoria A;2020-10-05;Ativo;2020-10-05;Brasil;Brasil;Serviços Transporte e Logística;Logística,transporte rodoviário de cargas em geral, municipal, intermunicipal, estadual e interestadual, serviços de entrega rápida e carga e descarga, dentre outros.;Fase Operacional;2010-05-03;Privado;2019-02-18;31;12;;https://ri.sequoialog.com.br
01.616.929/0001-02;2020-01-01;3;93203;SANEAMENTO DE GOIAS SA;1967-09-13;;1967-09-13;019186;2001-12-11;Categoria B;2010-01-01;Ativo;2001-12-11;Brasil;Brasil;Saneamento, Serv. Água e Gás;;Fase Operacional;2001-12-11;Estatal;1967-09-13;31;12;2019-12-31;www.saneago.com.br
01.838.723/0001-27;2020-01-01;1;95241;BRF S.A.;2012-12-31;BRF - BRASIL FOODS S.A.;1934-08-18;016292;1997-06-24;Categoria A;2010-01-01;Ativo;1997-06-24;Brasil;Brasil;Emp. Adm. Part. - Alimentos;Holding Operacional;Fase Operacional;2001-03-31;Privado;2010-04-27;31;12;2010-12-31;www.brf-br.com
01.851.771/0001-55;2020-01-01;2;95801;524 PARTICIPACOES S.A.;;;1997-04-02;016284;1997-05-30;Categoria A;2010-01-01;Ativo;1997-05-30;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Holding - participação em outras sociedades;Fase Operacional;1997-05-30;Privado;1997-07-18;31;12;1997-04-02;http://www.524participacoes.com.br/home/index.aspx
01.858.774/0001-10;2020-01-01;1;90786;BV LEASING - ARRENDAMENTO MERCANTIL S.A.;;;1996-10-23;020133;2006-06-23;Categoria B;2010-01-01;Ativo;2006-06-23;Brasil;Brasil;Arrendamento Mercantil;Arrendamento Mercantil;Fase Operacional;2006-06-23;Privado;;31;12;2011-12-31;www.bancovotorantim.com.br
01.896.779/0001-38;2020-01-01;2;96518;CSU CARDSYSTEM S.A.;1998-08-27;CARDSYSTEM UPSI S/A;1997-04-18;020044;2006-04-25;Categoria A;2010-01-01;Ativo;2006-04-25;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Terceirização em administração e processamento de meios eletrônicos de pagamento, Infraestrutura e gestão em terceirização de contact center, Desenvolvimento e gestão operacional de programas market;Fase Operacional;2006-04-25;Privado;2006-04-25;31;12;2010-12-31;www.csu.com.br
01.917.818/0001-36;2020-01-01;3;99302;LIGHT ENERGIA S.A.;2005-11-30;Light Energy S.A;1997-06-23;023000;2013-01-11;Categoria B;2013-01-11;Ativo;2013-01-11;Brasil;Brasil;Energia Elétrica;;Fase Operacional;2013-01-11;Estatal Holding;;31;12;;
01.938.783/0001-11;2020-01-01;1;91403;CIA PARTICIPACOES ALIANCA DA BAHIA;;;1997-05-14;018708;2000-07-26;Categoria A;2010-01-01;Ativo;2000-07-26;Ativo;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participações em outras sociedades, na qualidade de sócia e/ou quotista e administração de bnes próprios;Fase Operacional;2000-07-26;Privado Holding;;31;12;;http://www.aliancaparticipacoes.com.br
01.957.772/0001-89;2020-01-01;1;96453;SUL 116 PARTICIPACOES S.A.;2005-02-10;OPPORTUNITY SUL 116;1997-06-05;016438;1997-09-03;Categoria A;2010-01-01;Ativo;1997-09-03;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;participação em outras sociedades, comerciais ou civis, nacionais ou estrangeiras, como sócia. acionista ou quotista e a participação, como quotista, em fundos de investimento constuidos regularmente;Fase Operacional;1997-09-03;Privado Holding;2009-07-30;31;12;;http://sul116participacoes.mzweb.com.br
01.971.614/0001-83;2020-01-01;1;90652;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;;;1997-05-30;016497;1997-10-07;Categoria A;2010-01-01;Ativo;1997-10-07;Brasil;Brasil;Emp. Adm. Part. - Têxtil e Vestuário;Holding;Fase Operacional;1997-10-07;Privado;;31;12;;http://www.encorpar.com.br/
01.989.044/0001-59;2020-01-01;2;95327;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;;;1997-06-16;016551;1997-10-30;Categoria B;2013-07-19;Ativo;1997-10-31;Brasil;Brasil;Hospedagem e Turismo;HOTELARIA E TURISMO;Fase Pré-Operacional;1997-10-31;Privado;1998-10-01;31;12;;
02.016.440/0001-62;2020-01-01;1;90732;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2016-10-31;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;1997-07-28;016527;1997-10-13;Categoria B;2010-01-01;Ativo;1997-10-13;Brasil;Brasil;Energia Elétrica;Distribuição de Energia Elétrica;Fase Operacional;1997-10-13;Privado;2016-10-31;31;12;;www.aessul.com.br
02.062.747/0001-08;2020-01-01;2;95803;SUDESTE S.A.;2009-05-08;Opportunity Sudeste S.A.;1997-07-22;016586;1997-11-10;Categoria A;2010-01-01;Ativo;1997-11-10;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação em outras sociedades.;Fase Operacional;2003-08-31;Privado;2009-05-07;31;12;2009-05-08;http://www.sudestenet.com.br/home/index.aspx
02.084.220/0001-76;2020-01-01;1;96635;NUMERAL 80 PARTICIPAÇÕES S.A.;2011-12-19;Santos-Brasil S.A.;1997-09-05;016446;1997-09-16;Categoria A;2010-01-01;Ativo;1997-09-16;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;A Companhia tem por objeto participar de outras sociedades.;Fase Operacional;1997-09-16;Privado;2007-10-24;31;12;;www.santosbrasil.com.br
02.105.040/0001-23;2020-01-01;4;94840;CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO;;;1997-07-31;018287;1999-05-31;Categoria B;2012-05-22;Ativo;1999-05-31;Brasil;Brasil;Securitização de Recebíveis;Consiste em um processo financeiro estruturado através do qual créditos são adquiridos, permitindo a emissão de valores mobiliários (CRI ou CRA) a serem negociados no mercado financeiro e de capitais.;Fase Operacional;1999-05-31;Privado;;31;12;;www.cibrasec.com.br
02.117.801/0001-67;2020-01-01;2;96473;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2020-08-25;BONAIRE PARTICIPAÇÕES S.A.;1997-08-29;016560;1997-11-03;Categoria A;2010-01-01;Ativo;1997-11-03;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;;Fase Operacional;2000-12-31;Privado;1997-11-04;31;12;;www.bonairebrasil.com.br
02.149.205/0001-69;2020-01-01;1;90316;PORTO SEGURO S.A.;;;1997-09-22;016659;1997-11-28;Categoria A;2010-01-01;Ativo;1997-11-28;Brasil;Brasil;Seguradoras e Corretoras;Gestão de Participações Societárias (holding);Fase Operacional;1997-11-28;Privado;2009-11-30;31;12;;www.portoseguro.com.br
02.162.616/0001-94;2020-01-01;1;91550;UPTICK PARTICIPACOES S.A.;;;1997-09-08;016624;1997-11-19;Categoria A;2010-01-01;Ativo;1997-11-19;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;;Fase Operacional;2000-12-31;Privado;1997-11-25;31;12;;www.uptickbrasil.com.br
02.193.750/0001-52;2020-01-01;6;103561;GPC PARTICIPACOES S.A.;;;1997-10-01;016632;1997-11-20;Categoria A;2010-01-01;Ativo;1997-11-21;Brasil;Brasil;Emp. Adm. Part. - Petroquímicos e Borracha;;Fase Operacional;2020-11-12;Privado;2011-08-12;31;12;2010-12-31;www.gpc.com.br
02.201.787/0001-85;2020-01-01;1;91724;CEL PARTICIPAÇÕES S.A. - CELPAR;;;1997-09-10;016675;1997-12-01;Categoria B;2010-01-01;Ativo;1997-12-02;Brasil;Brasil;Emp. Adm. Part. - Educação;PARTICIPAÇAO EM INSTITUIÇÃO DE EDUCAÇAO - LICEU FRANCO BRASILEIRO SA;Fase Operacional;2000-12-31;Privado;1997-09-10;31;12;2019-12-31;
02.217.319/0001-07;2020-01-01;2;95804;ALEF S.A.;2009-05-08;Opportunity Alef S.A.;1997-10-06;016705;1997-12-08;Categoria A;2010-01-01;Ativo;1997-12-08;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Holding - participação em outras sociedades;Fase Operacional;2003-03-31;Privado;2008-03-28;31;12;1997-10-06;http://www.alefnet.com.br/home/index.aspx
02.221.531/0001-30;2020-01-01;1;92441;RODONORTE - CONC. ROD. INTEGRADAS S.A.;;;1997-11-03;019151;2001-11-12;Categoria B;2010-01-01;Ativo;2001-11-12;Brasil;Brasil;Serviços Transporte e Logística;Concessão de Rodovias do Paraná, Anel de Integração, Lote 5.;Fase Operacional;2001-11-12;Privado;2000-04-27;31;12;;www.rodonorte.com.br
02.222.736/0001-30;2020-01-01;1;95166;EMPRESA CONC RODOV DO NORTE S.A.ECONORTE;;Não se aplica;1997-10-08;019011;2001-07-24;Categoria B;2010-01-01;Ativo;2001-07-24;Brasil;Brasil;Serviços Transporte e Logística;Concessionária de rodovias, pontes, túneis e serviços relacionados;Fase Operacional;2001-07-24;Privado;2007-11-21;31;12;;www.econorte.com.br
02.258.422/0001-97;2020-01-01;3;97715;INEPAR EQUIPAMENTOS E MONTAGENS S/A;;;1997-10-31;017868;1998-10-23;Categoria A;2010-01-01;Ativo;1998-10-23;Brasil;Brasil;Máquinas, Equipamentos, Veículos e Peças;Equipamentos e Montagens Industriais;Fase Operacional;2014-09-15;Privado;;31;12;;www.inepar.com.br
02.281.836/0001-37;2020-01-01;1;94037;TRANSNORDESTINA LOGISTICA SA;2008-05-12;COMPANHIA FERROVIÁRIA DO NORDESTE - CFN;1997-11-27;020443;2007-01-11;Categoria B;2010-01-01;Ativo;2007-01-11;Brasil;Brasil;Serviços Transporte e Logística;Transporte ferroviário de cargas.;Fase Operacional;2007-01-11;Privado;2019-05-10;31;12;2019-12-31;www.tlsa.com.br
02.286.479/0001-08;2020-01-01;2;99492;Localiza Fleet S.A.;2014-01-15;Total Fleet S.A.;1997-12-15;024813;2019-10-10;Categoria B;2019-10-10;Ativo;2019-10-10;Brasil;Brasil;Serviços Transporte e Logística;Gestão de frotas;Fase Operacional;1997-12-15;Privado Holding;1997-12-30;31;12;;https://frotas.localiza.com/
02.291.077/0001-93;2020-01-01;1;94132;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;;;1997-12-10;019232;2002-02-07;Categoria A;2010-01-01;Ativo;2002-02-07;Brasil;Brasil;Energia Elétrica;GERAÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;2002-02-07;Privado;2005-09-26;31;12;;www.promanmt.com.br
