CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2011-01-01;1;BCO BRASIL S.A.;001023;FCA;4821;2011-02-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=4821
00.000.000/0001-91;2011-01-01;2;BCO BRASIL S.A.;001023;FCA;5362;2011-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=5362
00.000.000/0001-91;2011-01-01;3;BCO BRASIL S.A.;001023;FCA;6471;2011-04-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=6471
00.000.000/0001-91;2011-01-01;4;BCO BRASIL S.A.;001023;FCA;6489;2011-04-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=6489
00.000.000/0001-91;2011-01-01;5;BCO BRASIL S.A.;001023;FCA;6820;2011-04-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=6820
00.000.000/0001-91;2011-01-01;6;BCO BRASIL S.A.;001023;FCA;7183;2011-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=7183
00.000.000/0001-91;2011-01-01;7;BCO BRASIL S.A.;001023;FCA;7438;2011-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=7438
00.000.000/0001-91;2011-01-01;8;BCO BRASIL S.A.;001023;FCA;9840;2011-06-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=9840
00.000.000/0001-91;2011-01-01;9;BCO BRASIL S.A.;001023;FCA;10162;2011-07-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=10162
00.000.000/0001-91;2011-01-01;10;BCO BRASIL S.A.;001023;FCA;13225;2011-12-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=13225
00.000.000/0001-91;2011-01-01;11;BCO BRASIL S.A.;001023;FCA;13441;2011-12-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=13441
00.000.208/0001-00;2011-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;4556;2011-02-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=4556
00.000.208/0001-00;2011-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;5456;2011-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=5456
00.000.208/0001-00;2011-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;9393;2011-06-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=9393
00.000.208/0001-00;2011-01-01;4;BRB BANCO DE BRASILIA S.A.;014206;FCA;12122;2011-10-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=12122
00.001.180/0001-26;2011-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;4306;2011-01-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=4306
00.001.180/0001-26;2011-01-01;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;7242;2011-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=7242
00.070.698/0001-11;2011-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;4191;2011-01-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=4191
00.070.698/0001-11;2011-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;6249;2011-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=6249
00.070.698/0001-11;2011-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;7346;2011-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=7346
00.070.698/0001-11;2011-01-01;4;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;10165;2011-07-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=10165
00.070.698/0001-11;2011-01-01;5;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;11556;2011-09-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=11556
00.070.698/0001-11;2011-01-01;6;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;12063;2011-10-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=12063
