CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2018-01-01;1;BCO BRASIL S.A.;001023;FCA;70823;2018-01-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70823
00.000.000/0001-91;2018-01-01;2;BCO BRASIL S.A.;001023;FCA;70915;2018-01-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70915
00.000.208/0001-00;2018-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;71351;2018-02-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=71351
00.001.180/0001-26;2018-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;70936;2018-01-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70936
00.001.180/0001-26;2018-01-01;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;71040;2018-01-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=71040
00.070.698/0001-11;2018-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;71220;2018-01-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=71220
00.070.698/0001-11;2018-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;72125;2018-03-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=72125
00.070.698/0001-11;2018-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;77981;2018-10-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=77981
00.115.890/0001-87;2018-01-01;1;SHOPPING CENTER TACARUNA SA;015733;FCA;72911;2018-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=72911
00.185.475/0001-08;2018-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;81751;2019-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=81751
