CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2016-01-01;1;BCO BRASIL S.A.;001023;FCA;52683;2016-01-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52683
00.000.000/0001-91;2016-01-01;2;BCO BRASIL S.A.;001023;FCA;59315;2016-08-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59315
00.000.000/0001-91;2016-01-01;3;BCO BRASIL S.A.;001023;FCA;59338;2016-08-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59338
00.000.000/0001-91;2016-01-01;4;BCO BRASIL S.A.;001023;FCA;59704;2016-09-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59704
00.000.208/0001-00;2016-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;52828;2016-01-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52828
00.000.208/0001-00;2016-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;59553;2016-09-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59553
00.001.180/0001-26;2016-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;52789;2016-01-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52789
00.070.698/0001-11;2016-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;53126;2016-02-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53126
00.070.698/0001-11;2016-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;53367;2016-02-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53367
00.070.698/0001-11;2016-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;55402;2016-05-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=55402
00.115.890/0001-87;2016-01-01;1;SHOPPING CENTER TACARUNA SA;015733;FCA;54787;2016-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54787
00.115.890/0001-87;2016-01-01;2;SHOPPING CENTER TACARUNA SA;015733;FCA;57452;2016-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=57452
00.185.475/0001-08;2016-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;53734;2016-03-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53734
00.185.475/0001-08;2016-01-01;2;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;57951;2016-07-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=57951
00.185.475/0001-08;2016-01-01;3;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;59484;2016-09-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59484
00.192.769/0001-59;2016-01-01;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;54500;2016-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54500
00.192.769/0001-59;2016-01-01;2;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;59616;2016-09-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59616
00.249.786/0001-85;2016-01-01;1;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;53735;2016-03-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53735
00.249.786/0001-85;2016-01-01;2;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;57950;2016-07-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=57950
00.272.185/0001-93;2016-01-01;1;CIMS S.A.;014818;FCA;53215;2016-02-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53215
00.272.185/0001-93;2016-01-01;2;CIMS S.A.;014818;FCA;57567;2016-06-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=57567
00.336.701/0001-04;2016-01-01;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;52838;2016-01-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52838
00.336.701/0001-04;2016-01-01;2;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;53025;2016-01-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53025
