CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2014-01-01;5;42786;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2014-01-01;7;42217;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-01-01;;Nível 2 de Governança Corporativa;1993-09-24;
00.001.180/0001-26;2014-01-01;5;40284;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-26;;Bovespa Mais;1983-09-01;
00.070.698/0001-11;2014-01-01;11;41855;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-21;;Nível 2 de Governança Corporativa;1999-05-21;
00.108.786/0001-65;2014-01-01;6;42092;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2013-11-27;;Nível 2 de Governança Corporativa;1994-11-22;
00.185.475/0001-08;2014-01-01;2;38648;PARCOM PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1998-06-17;;;1998-06-17;
00.192.769/0001-59;2014-01-01;2;38674;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;;;;;Balcão Não-Organizado;;;;;;1998-04-07;
00.249.786/0001-85;2014-01-01;2;38643;FORPART SA;Ações Ordinárias;;;;;Balcão Não-Organizado;;;;;;1995-02-21;
00.272.185/0001-93;2014-01-01;2;38667;CIMS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-03-14;;Nível 2 de Governança Corporativa;1995-03-14;
00.336.701/0001-04;2014-01-01;5;36725;TELEC. BRASILEIRAS S.A. - TELEBRÁS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1989-03-01;;Nível 2 de Governança Corporativa;1989-03-01;
00.354.053/0001-00;2014-01-01;2;36721;LOJAS ARAPUA S/A;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-10-09;;;1995-10-09;
00.359.742/0001-08;2014-01-01;4;41354;INEPAR TELECOMUNICAÇÕES SA - em Recuperação Judicial;Ações Ordinárias;;;;;;;;;;;;
00.383.281/0001-09;2014-01-01;2;42839;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2006-12-20;;;2006-12-01;
00.383.281/0001-09;2014-01-01;2;42839;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-12-20;;;2006-12-01;
00.514.998/0001-42;2014-01-01;3;42042;ELETRON SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-11;;;1999-05-11;
00.545.378/0001-70;2014-01-01;2;42889;SERRA AZUL WATER PARK SA;Ações Ordinárias;;;;;Balcão Não-Organizado;;;;;;2010-01-01;2010-01-01
00.622.416/0001-41;2014-01-01;4;39080;Desenvix Energias Renováveis S.A.;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2011-10-03;;;2011-09-19;
00.644.907/0001-93;2014-01-01;2;39119;INVESTCO S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2000-02-04;;Nível 2 de Governança Corporativa;2000-02-04;
00.649.881/0001-76;2014-01-01;4;40913;GTD PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2005-03-24;;;2005-03-24;
00.743.065/0001-27;2014-01-01;3;39387;LITEL PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2000-10-18;;;2000-10-18;
00.776.574/0001-56;2014-01-01;2;37034;B2W - COMPANHIA DIGITAL;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-08-08;;Nível 1 de Governança Corporativa;2007-08-08;
00.864.214/0001-06;2014-01-01;3;40912;ENERGISA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-12-20;;Nível 2 de Governança Corporativa;1995-12-20;
00.866.577/0001-80;2014-01-01;3;42291;SAUIPE SA;Ações Ordinárias;;;;;;;;;;;;
00.897.864/0001-58;2014-01-01;3;103034;SANTA CATARINA PART INVEST SA;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-12-14;1995-12-14;;1995-12-14;1995-12-14
00.924.429/0001-75;2014-01-01;3;40511;FERROVIA CENTRO ATLANTICA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1996-02-14;;Nível 2 de Governança Corporativa;1996-02-14;
