CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
00.000.000/0001-91;2019-01-01;7;88748;BCO BRASIL S.A.;;;1808-10-12;001023;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Banco Múltiplo;Fase Operacional;1977-07-20;Estatal;;31;12;;www.bb.com.br
00.000.208/0001-00;2019-01-01;6;89929;BRB BCO DE BRASILIA S.A.;1986-01-16;BANCO REGIONAL DE BRASILIA SA - BRB;1964-12-10;014206;1993-09-24;Categoria A;2010-01-01;Ativo;1993-09-24;Brasil;Brasil;Bancos;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo;Fase Operacional;1993-09-24;Estatal;;31;12;2010-12-31;www.brb.com.br
00.001.180/0001-26;2019-01-01;7;90607;CENTRAIS ELET BRAS S.A. - ELETROBRAS;;;1962-06-11;002437;1971-01-28;Categoria A;2010-01-01;Ativo;1971-01-28;Brasil;Brasil;Energia Elétrica;Empresa Holding de Geração, Transmissão e Distribuição de Energia;Fase Operacional;1971-01-28;Estatal Holding;1962-06-11;31;12;1962-06-11;www.eletrobras.com
00.070.698/0001-11;2019-01-01;2;80316;CIA ENERGETICA DE BRASILIA;1994-03-15;COMPANHIA DE ELETRICIDADE DE BRASÍLIA;1968-12-16;014451;1994-07-04;Categoria A;2010-01-01;Ativo;1994-07-04;Brasil;Brasil;Energia Elétrica;HOLDING/GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;1994-07-04;Estatal;;31;12;2009-04-30;www.ceb.com.br
00.185.475/0001-08;2019-01-01;1;81752;PARCOM PARTICIPACOES S.A.;;;1994-08-18;014680;1994-12-22;Categoria A;2010-01-01;Ativo;1994-12-22;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Fase Operacional;2012-12-27;Privado Holding;2007-09-26;31;12;;www.parcomparticipacoes.com.br/home/index.aspx
00.192.769/0001-59;2019-01-01;1;84906;NEUMARKT TRADE AND FINANCIAL CENTER S/A;;;1994-08-23;014613;1994-10-27;Categoria B;2010-01-01;Ativo;1994-10-27;Brasil;Brasil;Crédito Imobiliário;Aluguel de Imóveis próprios;Fase Operacional;1994-10-27;Privado;;31;12;;
00.249.786/0001-85;2019-01-01;1;81755;FORPART S.A.;;;1994-08-23;014796;1995-02-21;Categoria A;2010-01-01;Ativo;1995-02-21;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Em Liquidação Extrajudicial;2012-12-27;Privado Holding;1996-12-23;31;12;;www.forpart.com.br/home/index.aspx
00.272.185/0001-93;2019-01-01;2;90300;CIMS S.A.;;;1994-10-18;014818;1995-03-14;Categoria A;2010-01-01;Ativo;1995-03-14;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação no Capital de Outras Empresas;Fase Operacional;1995-03-14;Privado;;31;12;;www.cims.com.br
00.336.701/0001-04;2019-01-01;3;89729;TELEC BRASILEIRAS S.A. TELEBRAS;1972-11-09;;1972-11-09;011258;1981-01-21;Categoria A;2010-01-01;Ativo;1981-01-21;Brasil;Brasil;Telecomunicações;Consecução dos objetivos previstos no Programa Nacional de Banda Larga - (Dec. 7.175 de 12/05/2010);Fase Operacional;1981-01-21;Estatal;2012-07-04;31;12;;www.telebras.com.br
00.354.053/0001-00;2019-01-01;2;83794;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;2015-05-15;LOJAS ARAPUÃ S/A;1995-05-23;015083;1995-10-09;Categoria A;2010-01-01;Ativo;1995-10-09;Brasil;Brasil;Comércio (Atacado e Varejo);Comércio, por atacado e varejo de, entre outros, aparelhos elétricos e eletrônicos, material óptico, fotográfico, utensílisos e aparelhos para uso em geral, acessórios do vestuário de uso comum e etc.;Em Recuperação Judicial ou Equivalente;2009-04-06;Privado;1995-09-18;31;12;2018-12-31;www.koscom.com.br
