CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2020-01-01;1;BCO BRASIL S.A.;001023;FCA;90888;2020-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=90888
00.000.000/0001-91;2020-01-01;2;BCO BRASIL S.A.;001023;FCA;95861;2020-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95861
00.000.000/0001-91;2020-01-01;3;BCO BRASIL S.A.;001023;FCA;98962;2020-12-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98962
00.000.208/0001-00;2020-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;94142;2020-06-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=94142
00.000.208/0001-00;2020-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;96857;2020-09-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96857
00.000.208/0001-00;2020-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;97055;2020-09-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97055
00.001.180/0001-26;2020-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;94539;2020-07-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=94539
00.001.180/0001-26;2020-01-01;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;95043;2020-07-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95043
00.001.180/0001-26;2020-01-01;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;99808;2021-01-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99808
00.001.180/0001-26;2020-01-01;4;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;104700;2021-05-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104700
00.070.698/0001-11;2020-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;91589;2020-03-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=91589
00.070.698/0001-11;2020-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;96548;2020-08-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96548
00.185.475/0001-08;2020-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;90581;2020-01-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=90581
00.185.475/0001-08;2020-01-01;2;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;95810;2020-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95810
00.185.475/0001-08;2020-01-01;3;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;97857;2020-10-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97857
00.192.769/0001-59;2020-01-01;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;92153;2020-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=92153
00.249.786/0001-85;2020-01-01;1;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;90582;2020-01-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=90582
00.249.786/0001-85;2020-01-01;2;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;95811;2020-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95811
00.249.786/0001-85;2020-01-01;3;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;97854;2020-10-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97854
00.249.786/0001-85;2020-01-01;4;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;97856;2020-10-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97856
