CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
00.000.000/0001-91;2010-01-01;5;3724;BANCO DO BRASIL S.A.;;;1808-10-12;001023;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Todos os serviços autorizados para banco comercial;Fase Operacional;1977-07-20;Estatal;;31;12;;www.bb.com.br
00.000.208/0001-00;2010-01-01;3;1264;BRB-BANCO DE BRASILIA SA;1986-01-16;BANCO REGIONAL DE BRASILIA S.A. - BRB;1964-12-10;014206;1993-09-24;Categoria A;2010-01-01;Ativo;1993-09-24;Brasil;Brasil;Bancos;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo .;Fase Operacional;1993-09-24;Estatal;;31;12;2009-12-31;www.brb.com.br
00.001.180/0001-26;2010-01-01;1;590;CENTRAIS ELETRICAS BRASILEIRAS SA;;;1962-06-11;002437;1971-01-28;Categoria A;2010-01-01;Ativo;1971-01-28;Brasil;Brasil;Energia Elétrica;Empresa Holding de Geração, Transmissão e Distribuição de Energia;Fase Operacional;1971-01-28;Estatal Holding;1962-06-11;31;12;1962-06-11;www.eletrobras.com
00.027.742/0001-00;2010-01-01;1;1223;CBCC PARTICIPAÇÕES SA;2006-11-28;CBCC - CIA BRASILEIRA DE CONTACT CENTER;1994-06-13;017728;1998-08-24;Categoria A;2010-01-01;Ativo;1998-08-24;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participações em outras empresas e sociedades;Fase Operacional;1998-08-24;Privado;1998-08-24;31;12;2009-12-31;
00.070.698/0001-11;2010-01-01;2;1943;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1994-03-15;COMPANHIA DE ELETRICIDADE DE BRASILIA;1968-12-16;014451;1994-07-04;Categoria A;2010-01-01;Ativo;1994-07-04;Brasil;Brasil;Energia Elétrica;HOLDING - GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;1994-07-04;Estatal Holding;;31;12;2009-04-30;www.ceb.com.br
00.095.147/0001-02;2010-01-01;1;534;VBC ENERGIA SA;2002-02-25;SERRA DA MESA ENERGIA S.A.;1994-06-08;014540;1994-08-30;Categoria A;2010-01-01;Ativo;1994-08-30;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação em empresas do setor energético ou a ele vinculadas;Fase Operacional;1994-08-30;Privado;2009-02-20;31;12;;
00.108.786/0001-65;2010-01-01;2;1752;NET SERVIÇOS DE COMUNICAÇÃO S.A.;2002-05-07;GLOBO CABO S.A;1994-07-07;014621;1994-11-22;Categoria A;2010-01-01;Ativo;1994-11-22;Brasil;Brasil;Telecomunicações;Multi-operadora de Serviços Via Cabo de TV por Assinatura , Vídeo Digital , Video em Alta Definição, Banda Larga e Voz.;Fase Operacional;1994-11-22;Privado Holding;;31;12;;http://ri.netservicos.com.br/
00.115.890/0001-87;2010-01-01;1;971;SHOPPING CENTER TACARUNA SA;;;1994-07-15;015733;1996-09-11;Categoria B;2010-01-01;Ativo;1996-09-11;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Securitização - Empreendimento Shopping Center Tacaruna;Fase Operacional;1998-10-08;Privado;;31;12;;
00.185.475/0001-08;2010-01-01;1;472;PARCOM PARTICIPACOES SA;;;1994-08-18;014680;1994-12-22;Categoria A;2010-01-01;Ativo;1994-12-22;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;PARTICIPAÇÃO EM OUTRAS SOCIEDADES.;Fase Operacional;1994-12-22;;2007-09-26;31;12;;
00.187.032/0001-48;2010-01-01;1;1997;KLABIN SEGALL S/A;1999-11-03;KLABIN SEGALL INCORPORAÇÕES E EMPREENDIMENTOS S.A.;1999-10-20;020249;2006-08-14;Categoria B;2010-05-21;Ativo;2006-08-14;Brasil;Brasil;Construção Civil, Mat. Constr. e Decoração;Promoção, construção e administração de empreendimentos imobiliários de qualquer natureza, próprios ou de terceiros. Compra, venda e negociação de imóveis em geral.;Fase Operacional;2006-08-14;Privado;2010-02-12;31;12;;www.grupoagre.com.br
00.249.786/0001-85;2010-01-01;1;474;FORPART SA;;;1994-08-23;014796;1995-02-21;Categoria A;2010-01-01;Ativo;1995-02-21;Brasil;;Emp. Adm. Part. - Sem Setor Principal;PARTICIPAÇÃO EM OUTRAS SOCIEDADES.;Fase Operacional;1995-02-21;;1996-12-23;31;12;;
00.257.846/0001-01;2010-01-01;2;3348;BOMBRIL HOLDING SA;;;1994-10-21;015334;1996-01-12;Categoria A;2010-01-01;Ativo;1996-01-12;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;ATIVIDADE DE HOLDING;Em Recuperação Judicial ou Equivalente;2005-11-16;Privado;;31;12;;
00.272.185/0001-93;2010-01-01;2;274;CIMS SA;;;1994-10-18;014818;1995-03-14;Categoria A;2010-01-01;Ativo;1995-03-14;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação no Capital de Outras Empresas;Fase Operacional;1995-03-14;Privado;;31;12;;
00.336.701/0001-04;2010-01-01;3;3461;TELEC. BRASILEIRAS S.A. - TELEBRÁS;;;1972-11-09;011258;1981-01-21;Categoria A;2010-01-01;Ativo;1981-01-21;Brasil;Brasil;Telecomunicações;Consecução dos objetivos previstos no Programa Nacional de Banda Larga - (Dec. 7.175 de 12/05/2010);Fase Operacional;1981-01-21;Estatal;2009-02-19;31;12;;www.telebras.com.br
