CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2025-01-01;1;BCO BRASIL S.A.;001023;FCA;146477;2025-04-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146477
00.000.208/0001-00;2025-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;144428;2025-01-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144428
00.000.208/0001-00;2025-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;149158;2025-06-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149158
00.000.208/0001-00;2025-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;153632;2025-11-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=153632
00.001.180/0001-26;2025-01-01;1;AXIA ENERGIA S.A.;002437;FCA;144859;2025-02-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144859
00.001.180/0001-26;2025-01-01;2;AXIA ENERGIA S.A.;002437;FCA;145969;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145969
00.001.180/0001-26;2025-01-01;3;AXIA ENERGIA S.A.;002437;FCA;149922;2025-07-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149922
00.001.180/0001-26;2025-01-01;4;AXIA ENERGIA S.A.;002437;FCA;150856;2025-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=150856
00.070.698/0001-11;2025-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;150598;2025-08-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=150598
00.080.671/0001-00;2025-01-01;1;CARAMURU ALIMENTOS S.A.;026190;FCA;144818;2025-02-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144818
00.080.671/0001-00;2025-01-01;2;CARAMURU ALIMENTOS S.A.;026190;FCA;144960;2025-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144960
00.185.475/0001-08;2025-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;145172;2025-03-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145172
00.185.475/0001-08;2025-01-01;2;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;146925;2025-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146925
00.185.475/0001-08;2025-01-01;3;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;148359;2025-05-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148359
00.185.475/0001-08;2025-01-01;4;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;149963;2025-07-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149963
