CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2018-01-01;2;70915;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2018-01-01;1;71351;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;BSLI03;;Balcão Não-Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.000.208/0001-00;2018-01-01;1;71351;BRB-BANCO DE BRASILIA SA;Ações Preferenciais;PNA;Preferencial Classe A;BSLI04;;Balcão Não-Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.001.180/0001-26;2018-01-01;2;71040;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-26;;Bovespa Mais;1983-09-01;
00.070.698/0001-11;2018-01-01;3;77981;CIA ENERGETICA DE BRASILIA;Ações Ordinárias;;;CEBR3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2018-01-01;3;77981;CIA ENERGETICA DE BRASILIA;Ações Preferenciais;PNB;Preferencial Classe B;CEBR6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2018-01-01;3;77981;CIA ENERGETICA DE BRASILIA;Ações Preferenciais;PNA;Preferencial Classe A;CEBR5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.115.890/0001-87;2018-01-01;1;72911;SHOPPING CENTER TACARUNA SA;Debêntures;;;;;Balcão Não-Organizado;;;;;;1996-09-11;
00.185.475/0001-08;2018-01-01;1;81751;PARCOM PARTICIPACOES S.A.;Ações Ordinárias;;;NÃO HÁ;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1998-06-17;2012-12-27;Básico;1998-06-17;2012-12-27
00.249.786/0001-85;2018-01-01;1;81754;FORPART S.A.;Ações Ordinárias;;;NÃO HÁ;;Balcão Não-Organizado;;;;;;1995-02-21;2012-12-27
