CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2017-01-01;1;BCO BRASIL S.A.;001023;FCA;61839;2017-01-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61839
00.000.000/0001-91;2017-01-01;2;BCO BRASIL S.A.;001023;FCA;70227;2017-11-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70227
00.000.000/0001-91;2017-01-01;3;BCO BRASIL S.A.;001023;FCA;70284;2017-11-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70284
00.000.208/0001-00;2017-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;61961;2017-01-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61961
00.001.180/0001-26;2017-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;61854;2017-01-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61854
00.001.180/0001-26;2017-01-01;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;62432;2017-02-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=62432
00.001.180/0001-26;2017-01-01;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;69257;2017-10-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69257
00.070.698/0001-11;2017-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;63461;2017-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=63461
00.115.890/0001-87;2017-01-01;1;SHOPPING CENTER TACARUNA SA;015733;FCA;63767;2017-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=63767
00.115.890/0001-87;2017-01-01;2;SHOPPING CENTER TACARUNA SA;015733;FCA;64254;2017-04-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=64254
00.185.475/0001-08;2017-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;62453;2017-02-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=62453
00.185.475/0001-08;2017-01-01;2;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;64385;2017-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=64385
00.192.769/0001-59;2017-01-01;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;63782;2017-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=63782
00.249.786/0001-85;2017-01-01;1;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;62464;2017-02-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=62464
00.249.786/0001-85;2017-01-01;2;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;64386;2017-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=64386
00.272.185/0001-93;2017-01-01;1;CIMS S.A.;014818;FCA;61815;2017-01-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61815
00.336.701/0001-04;2017-01-01;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;63081;2017-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=63081
00.336.701/0001-04;2017-01-01;2;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;66925;2017-06-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=66925
00.336.701/0001-04;2017-01-01;3;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;67005;2017-07-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=67005
00.336.701/0001-04;2017-01-01;4;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;69173;2017-10-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=69173
00.354.053/0001-00;2017-01-01;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;FCA;62471;2017-02-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=62471
00.354.053/0001-00;2017-01-01;2;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;FCA;65928;2017-05-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=65928
00.354.053/0001-00;2017-01-01;3;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;FCA;70520;2017-12-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=70520
