CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2023-01-01;1;BCO BRASIL S.A.;001023;FCA;123436;2023-02-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=123436
00.000.000/0001-91;2023-01-01;2;BCO BRASIL S.A.;001023;FCA;125484;2023-04-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125484
00.000.208/0001-00;2023-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;124068;2023-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=124068
00.000.208/0001-00;2023-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;128706;2023-06-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128706
00.001.180/0001-26;2023-01-01;1;AXIA ENERGIA S.A.;002437;FCA;125324;2023-04-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125324
00.001.180/0001-26;2023-01-01;2;AXIA ENERGIA S.A.;002437;FCA;128737;2023-07-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128737
00.001.180/0001-26;2023-01-01;3;AXIA ENERGIA S.A.;002437;FCA;130810;2023-09-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130810
00.001.180/0001-26;2023-01-01;4;AXIA ENERGIA S.A.;002437;FCA;131173;2023-09-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131173
00.001.180/0001-26;2023-01-01;5;AXIA ENERGIA S.A.;002437;FCA;131365;2023-10-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131365
00.070.698/0001-11;2023-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;125096;2023-04-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125096
00.080.671/0001-00;2023-01-01;1;CARAMURU ALIMENTOS S.A.;026190;FCA;128026;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128026
00.185.475/0001-08;2023-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;123830;2023-03-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=123830
00.192.769/0001-59;2023-01-01;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;123199;2023-01-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=123199
