CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2010-01-01;1;BCO BRASIL S.A.;001023;FCA;226;2010-05-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=226
00.000.000/0001-91;2010-01-01;2;BCO BRASIL S.A.;001023;FCA;2043;2010-08-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=2043
00.000.000/0001-91;2010-01-01;3;BCO BRASIL S.A.;001023;FCA;3420;2010-11-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=3420
00.000.000/0001-91;2010-01-01;4;BCO BRASIL S.A.;001023;FCA;3605;2010-11-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=3605
00.000.000/0001-91;2010-01-01;5;BCO BRASIL S.A.;001023;FCA;3724;2010-12-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=3724
00.000.208/0001-00;2010-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;285;2010-05-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=285
00.000.208/0001-00;2010-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;967;2010-06-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=967
00.000.208/0001-00;2010-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;1264;2010-06-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=1264
00.001.180/0001-26;2010-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;590;2010-06-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=590
00.027.742/0001-00;2010-01-01;1;CBCC PARTICIPAÇÕES SA;017728;FCA;1223;2010-06-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=1223
00.070.698/0001-11;2010-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;71;2010-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=71
00.070.698/0001-11;2010-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;1943;2010-08-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=1943
00.095.147/0001-02;2010-01-01;1;VBC ENERGIA SA;014540;FCA;534;2010-06-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=534
00.108.786/0001-65;2010-01-01;1;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;FCA;166;2010-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=166
00.108.786/0001-65;2010-01-01;2;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;FCA;1752;2010-08-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=1752
00.115.890/0001-87;2010-01-01;1;SHOPPING CENTER TACARUNA SA;015733;FCA;971;2010-06-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=971
