CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Ações Ordinárias;;;BBAS3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-05-31;;Novo Mercado;1977-07-20;
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Ações Ordinárias;;;BSLI03;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Ações Preferenciais;;;BSLI04;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-05-12;;Básico;2021-05-12;
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;;;;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2019-04-25;;Básico;2019-04-25;
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Preferenciais;PNB;Preferencial Classe B;ELET6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1974-11-13;
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Preferenciais;PNA;Preferencial Classe A;ELET5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1974-11-13;
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Ações Ordinárias;;;CEBR3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Ações Preferenciais;PNB;Preferencial Classe B;CEBR6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Ações Preferenciais;PNA;Preferencial Classe A;CEBR5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1998-06-17;2012-12-27;Básico;1998-06-17;2012-12-27
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Não-Organizado;;;;;;1995-02-21;2012-12-27
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;Ações Ordinárias;;;CMFA3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1995-03-14;;Básico;1995-03-14;
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;Ações Preferenciais;;;CMFA4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1995-03-14;;Básico;1995-03-14;
00.336.701/0001-04;2020-01-01;2;100102;TELEC BRASILEIRAS S.A. TELEBRAS;Ações Ordinárias;;;TELB3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1989-03-09;;Básico;1989-02-28;
00.336.701/0001-04;2020-01-01;2;100102;TELEC BRASILEIRAS S.A. TELEBRAS;Ações Preferenciais;PNA;Preferencial Classe A;TELB4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1989-03-09;;Básico;1989-02-28;
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Ações Ordinárias;;;ATOM3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1996-02-28;;Nível 2 de Governança Corporativa;1996-02-28;
