CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2019-01-01;1;BCO BRASIL S.A.;001023;FCA;79941;2019-01-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=79941
00.000.000/0001-91;2019-01-01;2;BCO BRASIL S.A.;001023;FCA;80230;2019-01-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=80230
00.000.000/0001-91;2019-01-01;3;BCO BRASIL S.A.;001023;FCA;80241;2019-01-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=80241
00.000.000/0001-91;2019-01-01;4;BCO BRASIL S.A.;001023;FCA;80505;2019-02-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=80505
00.000.000/0001-91;2019-01-01;5;BCO BRASIL S.A.;001023;FCA;81308;2019-03-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=81308
00.000.000/0001-91;2019-01-01;6;BCO BRASIL S.A.;001023;FCA;82825;2019-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=82825
00.000.000/0001-91;2019-01-01;7;BCO BRASIL S.A.;001023;FCA;88748;2019-10-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=88748
00.000.208/0001-00;2019-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;80391;2019-01-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=80391
00.000.208/0001-00;2019-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;80450;2019-02-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=80450
00.000.208/0001-00;2019-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;85218;2019-07-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=85218
