CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2024-01-01;1;BCO BRASIL S.A.;001023;FCA;133772;2024-01-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133772
00.000.000/0001-91;2024-01-01;2;BCO BRASIL S.A.;001023;FCA;134913;2024-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134913
00.000.000/0001-91;2024-01-01;3;BCO BRASIL S.A.;001023;FCA;135645;2024-04-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135645
00.000.208/0001-00;2024-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;133610;2024-01-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133610
00.000.208/0001-00;2024-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;137122;2024-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137122
00.001.180/0001-26;2024-01-01;1;AXIA ENERGIA S.A.;002437;FCA;137963;2024-05-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137963
00.001.180/0001-26;2024-01-01;2;AXIA ENERGIA S.A.;002437;FCA;142280;2024-10-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142280
00.070.698/0001-11;2024-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;135578;2024-04-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135578
00.070.698/0001-11;2024-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;135796;2024-04-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135796
00.070.698/0001-11;2024-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;135797;2024-04-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135797
00.070.698/0001-11;2024-01-01;4;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;135798;2024-04-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135798
00.080.671/0001-00;2024-01-01;1;CARAMURU ALIMENTOS S.A.;026190;FCA;137800;2024-05-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137800
00.185.475/0001-08;2024-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;135943;2024-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135943
00.192.769/0001-59;2024-01-01;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;133369;2024-01-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133369
00.192.769/0001-59;2024-01-01;2;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;134474;2024-03-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134474
00.194.724/0001-13;2024-01-01;1;AUREN OPERAÇÕES S.A.;026174;FCA;138120;2024-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138120
00.194.724/0001-13;2024-01-01;2;AUREN OPERAÇÕES S.A.;026174;FCA;142892;2024-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142892
00.242.184/0001-04;2024-01-01;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FCA;138613;2024-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138613
00.249.786/0001-85;2024-01-01;1;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;135942;2024-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135942
00.272.185/0001-93;2024-01-01;1;CIMS S.A.;014818;FCA;137632;2024-05-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137632
00.336.701/0001-04;2024-01-01;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;137263;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137263
00.357.038/0001-16;2024-01-01;1;AXIA ENERGIA NORTE S.A.;027472;FCA;135491;2024-04-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135491
00.357.038/0001-16;2024-01-01;2;AXIA ENERGIA NORTE S.A.;027472;FCA;137917;2024-05-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137917
00.357.038/0001-16;2024-01-01;3;AXIA ENERGIA NORTE S.A.;027472;FCA;142215;2024-10-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142215
00.357.038/0001-16;2024-01-01;4;AXIA ENERGIA NORTE S.A.;027472;FCA;142595;2024-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142595
00.359.742/0001-08;2024-01-01;1;FASA S.A. - EM RECUPERAÇÃO JUDICIAL;015423;FCA;137853;2024-05-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137853
00.359.742/0001-08;2024-01-01;2;FASA S.A. - EM RECUPERAÇÃO JUDICIAL;015423;FCA;143939;2024-12-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143939
00.383.281/0001-09;2024-01-01;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;FCA;134084;2024-02-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134084
00.383.281/0001-09;2024-01-01;2;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;FCA;137660;2024-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137660
