CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;;;1808-10-12;001023;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Banco Múltiplo;Fase Operacional;1977-07-20;Estatal;;31;12;;www.bb.com.br
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;1986-01-16;BANCO REGIONAL DE BRASILIA SA - BRB;1964-12-10;014206;1993-09-24;Categoria A;2010-01-01;Ativo;1993-09-24;Brasil;Brasil;Bancos;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo;Fase Operacional;1993-09-24;Estatal;;31;12;;www.brb.com.br
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;;;1962-06-11;002437;1971-01-28;Categoria A;;Ativo;1971-01-28;Brasil;Brasil;Energia Elétrica;Empresa Holding de Geração, Transmissão de Energia;Fase Operacional;1971-01-28;Estatal Holding;1971-01-28;31;12;1962-06-11;www.eletrobras.com
00.070.698/0001-11;2021-01-01;3;107377;CIA ENERGETICA DE BRASILIA;1994-03-15;COMPANHIA DE ELETRICIDADE DE BRASÍLIA;1968-12-16;014451;1994-07-04;Categoria A;2010-01-01;Ativo;1994-07-04;Brasil;Brasil;Energia Elétrica;HOLDING/GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;1994-07-04;Estatal;;31;12;2009-04-30;www.ceb.com.br
00.080.671/0001-00;2021-01-01;3;111905;CARAMURU ALIMENTOS S.A.;;Caramuru Óleos Vegetais Ltda.;1984-12-28;026190;2021-09-15;Categoria A;;Ativo;2021-09-15;Brasil;Brasil;Alimentos;Industrialização, produção, beneficiamento, processamento, comercialização exportação e importação de: cereais, sementes e frutos oleaginosos, insumos agropecuários e Biocombustíveis.;Fase Operacional;;Privado;2008-04-25;31;12;;https://ri.caramuru.com
00.185.475/0001-08;2021-01-01;2;109116;PARCOM PARTICIPACOES S.A.;;;1994-08-18;014680;1994-12-22;Categoria A;2010-01-01;Ativo;1994-12-22;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Fase Operacional;2012-12-27;Privado Holding;2019-06-03;31;12;;www.parcomparticipacoes.com.br/home/index.aspx
00.192.769/0001-59;2021-01-01;1;99779;NEUMARKT TRADE AND FINANCIAL CENTER S/A;;;1994-08-23;014613;1994-10-27;Categoria B;2010-01-01;Ativo;1994-10-27;Brasil;Brasil;Crédito Imobiliário;Aluguel de Imóveis próprios;Fase Operacional;1994-10-27;Privado;;31;12;;
00.194.724/0001-13;2021-01-01;5;113334;AES Brasil Operações S.A.;;Southern Electric Brasil Participações Ltda.;1994-09-14;026174;2021-08-17;Categoria A;2021-08-17;Ativo;2021-08-17;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Geração e comercialização de energia elétrica;Fase Operacional;2021-11-30;Privado Holding;2021-11-30;31;12;2020-12-31;http://ri.aesbrasil.com.br
00.242.184/0001-04;2021-01-01;3;107311;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1994-10-05;Armac Locação, Logística e Serviços Ltda.;1994-10-05;026069;2021-07-26;Categoria A;2021-07-26;Ativo;2021-07-26;Brasil;Brasil;Serviços Transporte e Logística;Locação de máquinas e equipamentos pesados;Fase Operacional;1994-10-05;Privado;2020-06-08;31;12;;https://armac.com.br/
00.249.786/0001-85;2021-01-01;2;109114;FORPART S.A.;2012-12-27;;1994-08-23;014796;1995-02-21;Categoria A;2010-01-01;Ativo;1995-02-21;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Em Liquidação Extrajudicial;2012-12-27;Privado Holding;2019-05-14;31;12;;www.forpart.com.br/home/index.aspx
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;;;1994-10-18;014818;1995-03-14;Categoria A;2010-01-01;Ativo;1995-03-14;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação no Capital de Outras Empresas;Fase Operacional;1995-03-14;Privado;;31;12;;www.cims.com.br
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;;;1972-11-09;011258;1981-01-21;Categoria A;2010-01-01;Ativo;1981-01-21;Brasil;Brasil;Telecomunicações;Consecução e execução das Políticas Públicas de Telecomunicação (Decreto 9.612/2018).;Fase Operacional;1981-01-21;Estatal;2001-03-31;31;12;;www.telebras.com.br
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;;INEPAR TELECOMUNICAÇÕES S.A.;1994-12-20;015423;1996-02-28;Categoria A;;Ativo;1996-02-28;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Holding de instituições não financeiras.;Em Recuperação Judicial ou Equivalente;2017-03-07;Privado Holding;2001-12-31;31;12;;www.atompar.com.br
00.383.281/0001-09;2021-01-01;1;100595;BNDES PARTICIPACOES S.A. - BNDESPAR;1982-06-30;FIBASE;1974-09-04;016772;1998-01-13;Categoria B;2010-01-01;Ativo;1998-01-14;Brasil;N/A;Emp. Adm. Part. - Sem Setor Principal;;Fase Operacional;1998-01-14;Estatal;;31;12;;http://www.bndes.gov.br
00.389.481/0001-79;2021-01-01;3;109663;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;;;1995-01-10;024880;2019-11-29;Categoria B;;Ativo;2019-11-29;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;;Fase Operacional;1995-01-10;Privado;2020-12-31;31;12;;http://www.lmfrotas.com.br/
00.416.968/0001-01;2021-01-01;1;105603;BANCO INTER S.A.;2017-06-08;Banco Intermedium S.A.;1994-09-16;024406;2018-04-26;Categoria A;2018-04-26;Ativo;2018-04-26;Brasil;Brasil;Bancos;Banco múltiplo com carteira de crédito, financiamento, investimento, câmbio e plataforma de produtos e serviços financeiros e não financeiros.;Fase Operacional;2018-04-26;Privado;;31;12;2020-12-31;http://ri.bancointer.com.br/
00.545.378/0001-70;2021-01-01;2;103664;SERRA AZUL WATER PARK SA;;;1995-03-09;014966;1995-07-26;Categoria A;2010-01-01;Ativo;1995-07-26;Brasil;Brasil;Emp. Adm. Part. - Brinquedos e Lazer;Administração e Exploração de Parque Aquático;Fase Operacional;2001-03-31;Privado;2009-10-02;31;12;2009-12-31;www.wetnwild.com.br
00.622.416/0001-41;2021-01-01;2;113325;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2015-07-13;Desenvix Energias Renováveis S.A.;1995-05-19;022594;2011-09-19;Categoria A;2011-09-19;Ativo;2011-09-19;Brasil;Brasil;Energia Elétrica;A Companhia atua no ramo de geração de energia elétrica por meio de fontes renováveis.;Fase Operacional;1995-05-19;Privado Holding;1995-05-19;31;12;1995-05-19;www.statkraft.com.br
00.644.907/0001-93;2021-01-01;4;112332;INVESTCO S.A.;;;1995-05-31;018589;2000-02-04;Categoria A;;Ativo;2000-02-04;Brasil;Brasil;Energia Elétrica;Geração de Energia Elétrica;Fase Operacional;2001-12-31;Privado;2000-02-04;31;12;;www.edpbr.com.br
00.743.065/0001-27;2021-01-01;2;104819;LITEL PARTICIPACOES S.A.;;;1995-07-21;015091;1995-10-18;Categoria A;2010-01-01;Ativo;1995-10-18;Brasil;Brasil;Emp. Adm. Part. - Extração Mineral;;Fase Operacional;2000-12-31;Privado;1997-04-24;31;12;;www.litelbrasil.com.br
00.776.574/0001-56;2021-01-01;3;113211;AMERICANAS S.A.;2021-06-10;B2W - COMPANHIA DIGITAL;2006-12-13;020990;2007-07-26;Categoria A;2010-01-01;Ativo;2007-07-26;Brasil;Brasil;Comércio (Atacado e Varejo);Comércio varejista e atacadista em geral de quaisquer bens e serviços por meio de diversos meios, em especial, da Internet e de lojas físicas, sem restrição a outros meios.;Fase Operacional;2007-07-26;Privado;2007-05-15;31;12;;https://ri.americanas.com/
00.864.214/0001-06;2021-01-01;5;111654;ENERGISA S.A.;;SIDEPAR PARTICIPAÇÕES S.A.;1995-08-09;015253;1995-12-20;Categoria A;;Ativo;1995-12-20;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Sociedade de participações em outras empresas, predominantemente em distribuidoras de energia elétrica.;Fase Operacional;2001-03-31;Privado;2001-03-31;31;12;1995-08-09;https://ri.energisa.com.br/
00.897.864/0001-58;2021-01-01;2;104407;SANTA CATARINA PART INVEST SA;;;1995-11-07;015199;1995-12-13;Categoria B;2010-01-01;Ativo;1995-12-13;Brasil;Brasil;Emp. Adm. Part. - Intermediação Financeira;Geração de recursos para alocação em investimentos públicos no território catarinense captados pela emissão de obrigações - Adm. Pública em Geral.;Fase Operacional;1995-12-13;Estatal;;31;12;;
