CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2021-01-01;1;BCO BRASIL S.A.;001023;FCA;99953;2021-02-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99953
00.000.000/0001-91;2021-01-01;2;BCO BRASIL S.A.;001023;FCA;103093;2021-04-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103093
00.000.000/0001-91;2021-01-01;3;BCO BRASIL S.A.;001023;FCA;109197;2021-10-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109197
00.000.000/0001-91;2021-01-01;4;BCO BRASIL S.A.;001023;FCA;110599;2021-12-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110599
00.000.000/0001-91;2021-01-01;5;BCO BRASIL S.A.;001023;FCA;110800;2021-12-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110800
00.000.208/0001-00;2021-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;105363;2021-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105363
00.000.208/0001-00;2021-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;105791;2021-06-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105791
00.000.208/0001-00;2021-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;108539;2021-09-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108539
00.000.208/0001-00;2021-01-01;4;BRB BANCO DE BRASILIA S.A.;014206;FCA;109097;2021-10-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109097
00.000.208/0001-00;2021-01-01;5;BRB BANCO DE BRASILIA S.A.;014206;FCA;110181;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110181
00.000.208/0001-00;2021-01-01;6;BRB BANCO DE BRASILIA S.A.;014206;FCA;110644;2021-12-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110644
00.001.180/0001-26;2021-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;105463;2021-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105463
00.001.180/0001-26;2021-01-01;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;110711;2021-12-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110711
00.001.180/0001-26;2021-01-01;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;111727;2022-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=111727
00.070.698/0001-11;2021-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;99822;2021-02-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99822
00.070.698/0001-11;2021-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;102767;2021-04-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=102767
00.070.698/0001-11;2021-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;107377;2021-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107377
