CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
83.475.913/0001-91;2015-01-01;2;PBG S/A;013773;FCA;48074;2015-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48074
83.475.913/0001-91;2015-01-01;3;PBG S/A;013773;FCA;52463;2015-12-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=52463
83.878.892/0001-55;2015-01-01;1;CENTRAIS ELET DE SANTA CATARINA S.A.;002461;FCA;43277;2015-01-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43277
83.878.892/0001-55;2015-01-01;2;CENTRAIS ELET DE SANTA CATARINA S.A.;002461;FCA;50781;2015-10-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50781
83.878.892/0001-55;2015-01-01;3;CENTRAIS ELET DE SANTA CATARINA S.A.;002461;FCA;51398;2015-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=51398
84.208.123/0001-02;2015-01-01;1;CIA DOCAS DE IMBITUBA;003174;FCA;45937;2015-04-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45937
84.208.123/0001-02;2015-01-01;2;CIA DOCAS DE IMBITUBA;003174;FCA;46557;2015-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46557
84.208.123/0001-02;2015-01-01;3;CIA DOCAS DE IMBITUBA;003174;FCA;48529;2015-06-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48529
84.208.123/0001-02;2015-01-01;4;CIA DOCAS DE IMBITUBA;003174;FCA;49196;2015-07-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=49196
84.208.123/0001-02;2015-01-01;5;CIA DOCAS DE IMBITUBA;003174;FCA;50209;2015-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50209
84.429.695/0001-11;2015-01-01;1;WEG S.A.;005410;FCA;43382;2015-01-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43382
84.429.695/0001-11;2015-01-01;2;WEG S.A.;005410;FCA;44425;2015-03-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44425
84.683.374/0001-49;2015-01-01;1;TUPY S.A.;006343;FCA;44182;2015-02-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44182
84.683.374/0001-49;2015-01-01;2;TUPY S.A.;006343;FCA;48539;2015-06-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48539
84.683.374/0001-49;2015-01-01;3;TUPY S.A.;006343;FCA;50508;2015-09-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50508
84.683.408/0001-03;2015-01-01;1;DOHLER S.A.;005207;FCA;43316;2015-01-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43316
84.683.408/0001-03;2015-01-01;2;DOHLER S.A.;005207;FCA;47732;2015-05-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=47732
84.683.671/0001-94;2015-01-01;1;WETZEL S.A.;011991;FCA;45044;2015-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45044
84.683.671/0001-94;2015-01-01;2;WETZEL S.A.;011991;FCA;47362;2015-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=47362
