CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
03.025.305/0001-46;2013-01-01;2;29119;Rodovias das Colinas S.A.;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2013-04-25;;;2013-04-25;
03.220.438/0001-73;2013-01-01;2;28261;EQUATORIAL ENERGIA S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2008-04-23;;Nível 1 de Governança Corporativa;2006-03-30;
03.303.999/0001-36;2013-01-01;2;28272;DTCOM - DIRECT TO COMPANY S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2000-12-31;;Nível 2 de Governança Corporativa;2000-12-31;
03.378.521/0001-75;2013-01-01;3;30486;LIGHT SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-02-22;;Nível 1 de Governança Corporativa;2006-02-22;
03.538.833/0001-07;2013-01-01;3;28312;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A;Certificados de Recebíveis Imobiliários;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-08-08;;;2006-08-08;
03.559.006/0001-91;2013-01-01;2;28929;RB CAPITAL SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;;;;;Balcão Organizado;CETIP;CETIP;2007-03-17;;;2007-03-17;
03.559.006/0001-91;2013-01-01;2;28929;RB CAPITAL SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-03-17;;;2007-03-17;
03.616.277/0001-31;2013-01-01;4;31343;ARAUCÁRIA PARTICIPAÇÕES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2000-04-18;;;2000-04-18;
03.767.538/0001-14;2013-01-01;2;28491;BRAZILIAN SECURITIES CIA SECURITIZAÇÃO;Certificados de Recebíveis Imobiliários;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2001-02-13;;;2001-02-13;
03.767.538/0001-14;2013-01-01;2;28491;BRAZILIAN SECURITIES CIA SECURITIZAÇÃO;Certificados de Recebíveis Imobiliários;;;;;Balcão Organizado;CETIP;CETIP;2001-02-13;;;2001-02-13;
03.767.538/0001-14;2013-01-01;2;28491;BRAZILIAN SECURITIES CIA SECURITIZAÇÃO;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2011-02-03;;;2011-02-03;
