CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2017-01-01;3;70284;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2017-01-01;1;61961;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-01-01;;Nível 2 de Governança Corporativa;2010-01-01;
00.001.180/0001-26;2017-01-01;3;69257;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-26;;Bovespa Mais;1983-09-01;
00.070.698/0001-11;2017-01-01;1;63461;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1994-07-04;;Nível 2 de Governança Corporativa;1994-07-04;
00.115.890/0001-87;2017-01-01;2;64254;SHOPPING CENTER TACARUNA SA;Debêntures;;;;;Balcão Não-Organizado;;;;;;1996-09-11;
00.185.475/0001-08;2017-01-01;2;64385;PARCOM PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1998-06-17;;;1998-06-17;
00.192.769/0001-59;2017-01-01;1;63782;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;;;;;Balcão Não-Organizado;;;;;;1998-04-07;
00.249.786/0001-85;2017-01-01;2;64386;FORPART S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;;;Balcão Não-Organizado;;;;;;1995-02-21;
00.272.185/0001-93;2017-01-01;1;61815;CIMS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-03-14;;Nível 2 de Governança Corporativa;1995-03-14;
00.336.701/0001-04;2017-01-01;4;69173;TELEC. BRASILEIRAS S.A. - TELEBRÁS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1989-03-01;;Nível 2 de Governança Corporativa;1989-03-01;
