CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2011-01-01;11;13441;BANCO DO BRASIL S.A.;Bônus de Subscrição;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;;1977-07-20;
00.000.000/0001-91;2011-01-01;11;13441;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2011-01-01;4;12122;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1993-09-24;;Nível 2 de Governança Corporativa;1993-09-24;
00.001.180/0001-26;2011-01-01;2;7242;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-29;;Bovespa Mais;1971-01-28;
00.070.698/0001-11;2011-01-01;6;12063;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-21;;Nível 2 de Governança Corporativa;1999-05-21;
00.095.147/0001-02;2011-01-01;2;9120;VBC ENERGIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1994-08-30;;Nível 2 de Governança Corporativa;1994-08-30;
00.115.890/0001-87;2011-01-01;2;7013;SHOPPING CENTER TACARUNA SA;Debêntures;;;;;Balcão Não-Organizado;;;;;;1996-09-11;
00.185.475/0001-08;2011-01-01;4;8639;PARCOM PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1998-06-17;;;1998-06-17;
00.192.769/0001-59;2011-01-01;5;13460;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;;;;;Balcão Não-Organizado;;;;;;1998-04-07;
00.249.786/0001-85;2011-01-01;3;8622;FORPART SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-10;;;1999-05-10;
00.272.185/0001-93;2011-01-01;3;10533;CIMS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-03-14;;Nível 2 de Governança Corporativa;1995-03-14;
00.336.701/0001-04;2011-01-01;5;10098;TELEC. BRASILEIRAS S.A. - TELEBRÁS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1989-03-01;;Nível 2 de Governança Corporativa;1989-03-01;
00.354.053/0001-00;2011-01-01;3;8324;LOJAS ARAPUA S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-10-17;1998-12-11;Nível 2 de Governança Corporativa;1995-10-17;1998-12-11
