CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2026-01-01;3;160576;BCO BRASIL S.A.;Ações Ordinárias;;;BBAS3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-05-31;;Novo Mercado;1977-07-20;
00.000.208/0001-00;2026-01-01;1;154896;BRB BANCO DE BRASILIA S.A.;Ações Ordinárias;;;BSLI3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.000.208/0001-00;2026-01-01;1;154896;BRB BANCO DE BRASILIA S.A.;Ações Preferenciais;;;BSLI4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.001.180/0001-26;2026-01-01;4;159987;AXIA Energia S.A.;Ações Ordinárias;;;AXIA3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1971-09-07;;Novo Mercado;1971-09-07;
00.001.180/0001-26;2026-01-01;4;159987;AXIA Energia S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2024-10-17;;Básico;2024-09-15;
00.001.180/0001-26;2026-01-01;4;159987;AXIA Energia S.A.;Ações Preferenciais;PNC;Preferencial Classe C;AXIA7;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2025-12-22;;Novo Mercado;2025-12-22;
00.070.698/0001-11;2026-01-01;2;157038;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;CEBR3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2026-01-01;2;157038;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Preferenciais;PNB;Preferencial Classe B;CEBR6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2026-01-01;2;157038;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Preferenciais;PNA;Preferencial Classe A;CEBR5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.080.671/0001-00;2026-01-01;1;158712;CARAMURU ALIMENTOS S.A.;Ações Ordinárias;;;;;;;;;;;;
00.185.475/0001-08;2026-01-01;1;154886;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1998-06-17;2012-12-27;Básico;1998-06-17;2012-12-27
00.194.724/0001-13;2026-01-01;1;157825;Auren Operações S.A.;Ações Ordinárias;;;AESO3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-12-03;;Básico;2021-07-23;
00.242.184/0001-04;2026-01-01;1;157263;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Ações Ordinárias;;;ARML3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-07-28;;Novo Mercado;2021-07-27;
00.242.184/0001-04;2026-01-01;1;157263;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-05-06;;Básico;2021-04-28;
00.242.184/0001-04;2026-01-01;1;157263;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Certificado de Recebíveis do Agronegócio;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2022-06-15;;Básico;2022-06-15;
00.249.786/0001-85;2026-01-01;1;154883;FORPART S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Não-Organizado;;;;;;1995-02-21;2012-12-27
00.336.701/0001-04;2026-01-01;2;159932;TELEC BRASILEIRAS S.A. TELEBRAS;Ações Ordinárias;;;TELB3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1989-03-09;;Básico;1989-02-28;
00.336.701/0001-04;2026-01-01;2;159932;TELEC BRASILEIRAS S.A. TELEBRAS;Ações Preferenciais;PNA;Preferencial Classe A;TELB4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1989-03-09;;Básico;1989-02-28;
00.357.038/0001-16;2026-01-01;3;159997;AXIA Energia Norte S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2024-10-07;;Básico;2024-09-15;
00.359.742/0001-08;2026-01-01;9;161200;FASA S.A. - EM RECUPERAÇÃO JUDICIAL;Ações Ordinárias;;;FASA3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1996-02-28;;Básico;1996-02-28;
00.389.481/0001-79;2026-01-01;2;159119;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2023-12-15;;Básico;2023-12-15;
00.644.907/0001-93;2026-01-01;1;157795;INVESTCO S.A.;Ações Preferenciais;PNC;Preferencial Classe C;00;;Balcão Não-Organizado;;;;;;2000-02-04;
00.644.907/0001-93;2026-01-01;1;157795;INVESTCO S.A.;Ações Preferenciais;PNA;Preferencial Classe A;00;;Balcão Não-Organizado;;;;;;2000-02-04;
00.644.907/0001-93;2026-01-01;1;157795;INVESTCO S.A.;Ações Preferenciais;PNR;Preferencial Classe R;00;;Balcão Não-Organizado;;;;;;2000-02-04;
00.644.907/0001-93;2026-01-01;1;157795;INVESTCO S.A.;Ações Preferenciais;PNB;Preferencial Classe B;00;;Balcão Não-Organizado;;;;;;2000-02-04;
00.743.065/0001-27;2026-01-01;1;156687;LITEL PARTICIPACOES S.A.;Ações Ordinárias;;;LTEL3B;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2000-10-18;;Básico;2000-10-18;
00.776.574/0001-56;2026-01-01;1;159035;AMERICANAS S.A. - em Recuperação Judicial;Ações Ordinárias;;;AMER3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2007-08-08;;Novo Mercado;2007-08-08;
00.776.574/0001-56;2026-01-01;1;159035;AMERICANAS S.A. - em Recuperação Judicial;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2020-11-15;;Básico;2020-11-15;
