CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;;;1808-10-12;001023;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Banco Múltiplo;Fase Operacional;1977-07-20;Estatal;1998-04-07;31;12;;www.bb.com.br
00.000.208/0001-00;2025-01-01;3;153632;BRB BANCO DE BRASILIA S.A.;1986-01-16;BANCO REGIONAL DE BRASILIA SA - BRB;1964-12-10;014206;1993-09-24;Categoria A;2010-01-01;Ativo;1993-09-24;Brasil;Brasil;Bancos;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo.;Fase Operacional;1993-09-24;Estatal;1998-04-07;31;12;;www.brb.com.br
00.001.180/0001-26;2025-01-01;4;150856;CENTRAIS ELET BRAS S.A. - ELETROBRAS;;;1962-06-11;002437;1971-01-28;Categoria A;2010-01-01;Ativo;1971-01-28;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Empresa Holding de Geração, Transmissão de Energia;Fase Operacional;1971-01-28;Privado Holding;2022-06-17;31;12;1962-06-11;www.eletrobras.com
00.070.698/0001-11;2025-01-01;1;150598;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;;COMPANHIA DE ELETRICIDADE DE BRASÍLIA;1968-12-16;014451;1994-07-04;Categoria A;2010-01-01;Ativo;1994-07-04;Brasil;Brasil;Energia Elétrica;HOLDING - GERAÇÃO DE ENERGIA ELÉTRICA E ILUMINAÇÃO PÚBLICA;Fase Operacional;1994-07-04;Estatal;1998-04-07;31;12;2009-04-30;www.ceb.com.br
00.080.671/0001-00;2025-01-01;2;144960;CARAMURU ALIMENTOS S.A.;;Caramuru Óleos Vegetais Ltda.;1984-12-28;026190;2021-09-15;Categoria A;2021-09-15;Ativo;2021-09-15;Brasil;Brasil;Alimentos;Industrialização, produção, beneficiamento, processamento, comercialização exportação e importação de: cereais, sementes e frutos oleaginosos, insumos agropecuários e Biocombustíveis.;Fase Operacional;;Privado;2025-01-28;31;12;;https://ri.caramuru.com
00.185.475/0001-08;2025-01-01;4;149963;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;;;1994-08-18;014680;1994-12-22;Categoria A;2010-01-01;Ativo;1994-12-22;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Em Liquidação Extrajudicial;2012-12-27;Privado Holding;2000-12-31;31;12;;www.parcomparticipacoes.com.br/home/index.aspx
00.194.724/0001-13;2025-01-01;2;151509;Auren Operações S.A.;2024-10-31;AES Operações S.A.;1994-09-14;026174;2021-08-17;Categoria A;2021-08-17;Ativo;2021-08-17;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Geração e comercialização de energia elétrica;Fase Operacional;2021-11-30;Privado Holding;2024-10-31;31;12;;https://ri.aurenenergia.com.br/
00.242.184/0001-04;2025-01-01;1;144425;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1994-10-05;Armac Locação, Logística e Serviços Ltda.;1994-10-05;026069;2021-07-26;Categoria A;2021-07-26;Ativo;2021-07-26;Brasil;Brasil;Serviços Transporte e Logística;Locação de máquinas e equipamentos pesados;Fase Operacional;1994-10-05;Privado;;31;12;;https://armac.com.br/
00.249.786/0001-85;2025-01-01;4;149960;FORPART S.A. - EM LIQUIDAÇÃO;;;1994-08-23;014796;1995-02-21;Categoria A;2010-01-01;Ativo;1995-02-21;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL.;Em Liquidação Extrajudicial;2012-12-27;Privado Holding;2000-12-31;31;12;;www.forpart.com.br/home/index.aspx
00.336.701/0001-04;2025-01-01;1;147779;TELEC BRASILEIRAS S.A. TELEBRAS;;;1972-11-09;011258;1981-01-21;Categoria A;2010-01-01;Ativo;1981-01-21;Brasil;Brasil;Telecomunicações;Consecução e execução das Políticas Públicas de Telecomunicação (Decreto 9.612/2018).;Fase Operacional;1981-01-21;Estatal;2001-03-31;31;12;;www.telebras.com.br
