CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2012-01-01;6;21434;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2012-01-01;8;20471;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-01-01;;Nível 2 de Governança Corporativa;1993-09-24;
00.001.180/0001-26;2012-01-01;3;20984;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-26;;Bovespa Mais;1983-09-01;
00.070.698/0001-11;2012-01-01;6;21814;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-21;;Nível 2 de Governança Corporativa;1999-05-21;
00.185.475/0001-08;2012-01-01;3;18004;PARCOM PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1998-06-17;;;1998-06-17;
00.192.769/0001-59;2012-01-01;4;20793;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;;;;;Balcão Não-Organizado;;;;;;1998-04-07;
00.249.786/0001-85;2012-01-01;3;18006;FORPART SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-10;;;1999-05-10;
00.336.701/0001-04;2012-01-01;3;22448;TELEC. BRASILEIRAS S.A. - TELEBRÁS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1989-03-01;;Nível 2 de Governança Corporativa;1989-03-01;
00.383.281/0001-09;2012-01-01;3;17922;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2006-12-20;;;2006-12-01;
00.383.281/0001-09;2012-01-01;3;17922;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-12-20;;;2006-12-01;
00.514.998/0001-42;2012-01-01;3;18271;ELETRON SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-11;;;1999-05-11;
00.622.416/0001-41;2012-01-01;4;22488;Desenvix Energias Renováveis S.A.;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2011-10-03;;;2011-09-19;
00.644.907/0001-93;2012-01-01;5;17224;INVESTCO S/A;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2001-11-01;;;2001-11-01;
00.776.574/0001-56;2012-01-01;3;20164;B2W - COMPANHIA GLOBAL DO VAREJO;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-08-08;;Nível 1 de Governança Corporativa;2007-08-08;
00.864.214/0001-06;2012-01-01;4;18292;ENERGISA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-12-20;;Nível 2 de Governança Corporativa;1995-12-20;
00.864.214/0001-06;2012-01-01;4;18292;ENERGISA SA;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2008-04-01;;;2008-04-01;
00.864.214/0001-06;2012-01-01;4;18292;ENERGISA SA;Certificados de Depósito de Valores Mobiliários;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2009-09-06;;;2009-09-06;
00.866.577/0001-80;2012-01-01;5;18599;SAUIPE SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1998-10-08;;Nível 2 de Governança Corporativa;1998-10-08;
00.897.864/0001-58;2012-01-01;2;18493;SANTA CATARINA PART INVEST SA;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-12-14;1995-12-14;;1995-12-14;1995-12-14
00.924.429/0001-75;2012-01-01;4;18248;FERROVIA CENTRO ATLANTICA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1996-02-14;;Nível 2 de Governança Corporativa;1996-02-14;
00.924.432/0001-99;2012-01-01;2;19014;HOPI HARI SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1996-02-13;;Nível 2 de Governança Corporativa;1996-02-13;
00.924.432/0001-99;2012-01-01;2;19014;HOPI HARI SA;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;1997-02-18;;;1997-02-18;
00.938.574/0001-05;2012-01-01;2;17931;CONCESSIONARIA RIO-TERESOPOLIS SA;Debêntures Conversíveis;;;;;Balcão Organizado;CETIP;CETIP;2001-12-26;;;2001-12-26;
00.979.969/0001-56;2012-01-01;2;16964;CAIXA ADM DIV PUB ESTADUAL SA;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;1996-09-16;;;1996-09-16;
01.027.058/0001-91;2012-01-01;2;19071;CIELO S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2009-06-29;;Nível 1 de Governança Corporativa;2009-06-29;
01.083.200/0001-18;2012-01-01;3;19796;NEOENERGIA S.A;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2001-12-17;;;2001-01-23;
01.109.184/0001-95;2012-01-01;1;13611;UNIVERSO ONLINE SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2005-12-14;;Bovespa Mais N2;2005-12-14;
01.319.044/0001-41;2012-01-01;2;16892;WTC AMAZONAS SUITE HOTEL S.A.;Debêntures;;;;;Balcão Não-Organizado;;;;;;1996-09-18;
01.425.787/0001-04;2012-01-01;2;18941;REDECARD S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-07-11;;Nível 1 de Governança Corporativa;2007-07-11;
01.425.787/0001-04;2012-01-01;2;18941;REDECARD S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2012-04-02;;;2012-04-02;
