CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2015-01-01;4;44187;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2015-01-01;3;46823;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-01-01;;Nível 2 de Governança Corporativa;1993-09-24;
00.001.180/0001-26;2015-01-01;1;45470;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-26;;Bovespa Mais;1983-09-01;
00.070.698/0001-11;2015-01-01;8;51996;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1994-07-04;;Nível 2 de Governança Corporativa;1994-07-04;
00.185.475/0001-08;2015-01-01;2;46645;PARCOM PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Não-Organizado;;;;;;1994-12-22;
00.249.786/0001-85;2015-01-01;2;46646;FORPART SA;Ações Ordinárias;;;;;Balcão Não-Organizado;;;;;;1995-02-21;
00.272.185/0001-93;2015-01-01;1;44235;CIMS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-03-14;;Nível 2 de Governança Corporativa;1995-03-14;
00.336.701/0001-04;2015-01-01;4;51234;TELEC. BRASILEIRAS S.A. - TELEBRÁS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1989-03-01;;Nível 2 de Governança Corporativa;1989-03-01;
00.354.053/0001-00;2015-01-01;3;47583;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - em recuperação judicial;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-10-09;;;1995-10-09;
00.359.742/0001-08;2015-01-01;4;50888;ATOM Participações S.A.;Ações Ordinárias;;;;;;;;;;;;
00.383.281/0001-09;2015-01-01;1;43610;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2006-12-20;;;2006-12-01;
00.383.281/0001-09;2015-01-01;1;43610;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-12-20;;;2006-12-01;
00.514.998/0001-42;2015-01-01;1;43524;ELETRON SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-11;;;1999-05-11;
00.545.378/0001-70;2015-01-01;2;47702;SERRA AZUL WATER PARK SA;Ações Ordinárias;;;;;Balcão Não-Organizado;;;;;;1995-07-26;2010-04-30
00.622.416/0001-41;2015-01-01;3;51078;Statkraft Energias Renováveis S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2011-10-03;;;2011-09-19;
00.644.907/0001-93;2015-01-01;2;49469;INVESTCO S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2000-02-04;;Nível 2 de Governança Corporativa;2000-02-04;
00.649.881/0001-76;2015-01-01;1;44773;GTD PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2005-03-24;;;2005-03-24;
00.743.065/0001-27;2015-01-01;4;49120;LITEL PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2000-10-18;;;2000-10-18;
