CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2012-01-01;1;BCO BRASIL S.A.;001023;FCA;13651;2012-01-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=13651
00.000.000/0001-91;2012-01-01;2;BCO BRASIL S.A.;001023;FCA;14039;2012-02-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=14039
00.000.000/0001-91;2012-01-01;3;BCO BRASIL S.A.;001023;FCA;18306;2012-05-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=18306
00.000.000/0001-91;2012-01-01;4;BCO BRASIL S.A.;001023;FCA;18333;2012-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=18333
00.000.000/0001-91;2012-01-01;5;BCO BRASIL S.A.;001023;FCA;20830;2012-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=20830
00.000.000/0001-91;2012-01-01;6;BCO BRASIL S.A.;001023;FCA;21434;2012-09-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=21434
00.000.208/0001-00;2012-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;13614;2012-01-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=13614
00.000.208/0001-00;2012-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;14047;2012-02-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=14047
00.000.208/0001-00;2012-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;14911;2012-03-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=14911
00.000.208/0001-00;2012-01-01;4;BRB BANCO DE BRASILIA S.A.;014206;FCA;15531;2012-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=15531
00.000.208/0001-00;2012-01-01;5;BRB BANCO DE BRASILIA S.A.;014206;FCA;19088;2012-06-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=19088
00.000.208/0001-00;2012-01-01;6;BRB BANCO DE BRASILIA S.A.;014206;FCA;19612;2012-07-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=19612
00.000.208/0001-00;2012-01-01;7;BRB BANCO DE BRASILIA S.A.;014206;FCA;19903;2012-07-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=19903
00.000.208/0001-00;2012-01-01;8;BRB BANCO DE BRASILIA S.A.;014206;FCA;20471;2012-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=20471
00.001.180/0001-26;2012-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;15146;2012-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=15146
00.001.180/0001-26;2012-01-01;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;19300;2012-06-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=19300
00.001.180/0001-26;2012-01-01;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;20984;2012-08-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=20984
00.070.698/0001-11;2012-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;14464;2012-02-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=14464
00.070.698/0001-11;2012-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;16574;2012-04-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=16574
00.070.698/0001-11;2012-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;16888;2012-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=16888
00.070.698/0001-11;2012-01-01;4;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;18668;2012-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=18668
00.070.698/0001-11;2012-01-01;5;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;19271;2012-06-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=19271
